## Genes Enas is interested in, 03.06.16

Mm IDO1-F     IDO1F     
Mm IDO1-R     IDO1R 
Mm IDO2-F     IDO2F 
Mm IDO2-R     IDO2R 
Mm CxCL9-F    CxCL9F
Mm CxCL9-R    CxCL9R
Mm CxCL10-F   CxCL10F
Mm CxCL10-R   CxCL10R
Mm CxCL11-F   CxCL11F
Mm CxCL11-R   CxCL11R
Mm IRGM3-F    IRGM3F
Mm IRGM3-RA   IRGM3RA
Mm IRGB6-F    IRGB6F
Mm IRGB6-R    IRGB6R
Mm GBP2-F     GBP2F 
Mm GBP2-R     GBP2R      guanylate binding protein 2 
                      
                      
   IFN        IFN
   TNF        TNF
   IL2        IL2
   IL10       IL10
   IL22       IL22
   IL17       IL17
