"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000088",17472,24763,20017,7943,18594,74552,153557,81071,133245,134759,3362,24203,103402,33639,34465,234793,30155,48266,12413,27151,21870,16220,22784
"ENSMUSG00000000093",6,14,6,0,1,7,28,0,2,1,0,4,13,7,2,18,12,4,4,7,1,2,8
"ENSMUSG00000000094",4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,4,2,0,4
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",3,1,4,1,1,4,10,0,6,5,0,3,2,0,0,18,3,2,0,1,0,1,0
"ENSMUSG00000000125",10,32,18,3,13,58,55,13,46,37,0,7,90,20,58,200,65,37,4,14,10,14,26
"ENSMUSG00000000126",4,14,29,12,10,10,137,89,22,78,4,29,44,15,16,79,22,8,3,5,18,0,13
"ENSMUSG00000000127",491,741,845,528,624,4108,8665,2364,5552,4417,103,856,3447,934,1283,8717,975,1644,404,748,838,589,1098
"ENSMUSG00000000131",4985,8298,9344,2394,7855,28446,71955,25998,42617,47177,2019,17066,30921,9064,13973,83536,16225,14221,4791,8940,10065,6977,12849
"ENSMUSG00000000134",4037,5198,5809,2188,4835,15800,41373,17494,26067,30984,1439,10806,19093,6843,9479,52493,9710,9627,2639,5846,6513,4261,6486
