"C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","NMRI_oocysts_rep1","NMRI_oocysts_rep2","NMRI_sporozoites_rep1","NMRI_sporozoites_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"EfaB_1048_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EfaB_1068_tRNA1",0,0,0,0,0,2,0,5,98,171,0,2,7,0,4,7,0,0,0,0,0
"EfaB_1068_tRNA2",0,0,0,0,0,3,0,23,81,128,0,2,5,0,5,14,5,0,0,0,0
"EfaB_1068_tRNA3",0,1,1,1,0,39,3,85,126,245,0,6,19,0,3,31,38,38,1,0,1
"EfaB_1068_tRNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_10843_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_11233_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_11280_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"EfaB_12065_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13222_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13222_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13227_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13385_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13385_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13398_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_13398_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_14053_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0
"EfaB_14774_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EfaB_15576_tRNA1",0,0,0,0,0,1,1,2,10,31,0,0,4,0,2,126,17,3,0,0,0
"EfaB_15576_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15576_tRNA3",0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,2,0,0,0,0,0
"EfaB_15576_tRNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15648_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15648_tRNA2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"EfaB_15648_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15697_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15697_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15724_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,7,0,0,0
"EfaB_15758_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15899_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15899_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15899_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_15899_tRNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"EfaB_17096_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_1711_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_1711_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_1711_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_17907_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_18472_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_18472_tRNA2",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"EfaB_18472_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_18587_tRNA1",0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,10,2,0,0,0
"EfaB_193_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_193_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_19717_tRNA1",0,0,0,0,0,0,1,5,8,8,0,0,0,0,2,11,25,1,0,0,0
"EfaB_1974_tRNA1",0,0,0,0,0,0,0,4,2,11,0,0,2,0,7,95,171,16,0,0,0
"EfaB_20371_tRNA1",0,0,0,0,0,0,0,2,15,1,0,0,0,0,0,4,0,1,0,0,0
"EfaB_20371_tRNA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA6",0,0,0,0,0,8,0,18,101,100,0,1,2,0,2,22,10,1,0,0,0
"EfaB_20371_tRNA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20371_tRNA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EfaB_20371_tRNA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20412_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_20600_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_21549_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_21549_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_22450_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_22732_tRNA1",0,0,0,0,2,11,7,56,21,45,0,8,4,0,0,3,13,1,0,0,0
"EfaB_228_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_23143_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_23143_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EfaB_23272_tRNA1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_23272_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_2387_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_24117_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_24117_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_24117_tRNA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_25052_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_25177_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_25458_tRNA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EfaB_25458_tRNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
