[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	
ETH_00000010	-1.1	2.75	2.83	
ETH_00000015	-1.6	0.5	1.14	
ETH_00000020	-1.1	0.2	0.3	
ETH_00000025	1.3	0.68	0.35	
ETH_00000030	-2.7	4.99	6.41	
ETH_00000040	1.5	2.03	1.49	
ETH_00000045	5.6	6.09	3.61	
ETH_00000050	1.2	3.69	3.4	
ETH_00000055	1	5.76	5.72	
ETH_00000060	1	1.04	1.04	
ETH_00000065	-17.2	3.88	7.98	
ETH_00000070	1.7	5.7	4.95	
ETH_00000075	-1.2	0.2	0.44	
ETH_00000080	1.5	0.72	0.11	
ETH_00000085	9.7	3.69	0.41	
ETH_00000090	-1	0.68	0.72	
ETH_00000095	-1.5	0.33	0.87	
ETH_00000100	-1.5	0.45	1	
ETH_00000105	-4.9	3.69	5.98	
ETH_00000110	-10.6	3.13	6.54	
ETH_00000115	530.7	9.47	0.42	
ETH_00000120	33.2	5.56	0.5	
ETH_00000125	-1.5	9.35	9.97	
ETH_00000130	-2.7	4.73	6.15	
ETH_00000135	-5.9	4.85	7.41	
ETH_00000140	-1	0.08	0.11	
ETH_00000145	13.5	4.14	0.39	
ETH_00000150	-3.7	3.88	5.76	
ETH_00000155	-1.6	4.83	5.55	
ETH_00000160	-2.1	3.03	4.1	
ETH_00000165	-3.8	3.17	5.1	
ETH_00000170	4.3	5.33	3.22	
ETH_00000175	1.1	4.98	4.9	
ETH_00000180	-70.6	1.21	7.35	
ETH_00000185	-1.9	0.33	1.29	
ETH_00000190	-1.6	4.62	5.3	
ETH_00000195	-2.3	6.54	7.77	
ETH_00000200	8.1	6.98	3.95	
ETH_00000205	1.3	1.64	1.27	
ETH_00000210	2.2	10.96	9.83	
ETH_00000215	6.6	4.04	1.31	
ETH_00000220	-1.4	5.05	5.48	
ETH_00000225	2.3	1.98	0.81	
ETH_00000230	2.7	2.33	0.88	
ETH_00000235	1.5	6.65	6.03	
ETH_00000240	-31.4	2.44	7.41	
ETH_00000245	-15.2	0.55	4.48	
ETH_00000250	1.9	0.96	0	
ETH_00000255	-1.5	4.47	5.06	
ETH_00000260	-1	0.25	0.27	
ETH_00000265	2.3	2.05	0.82	
ETH_00000270	-3.8	2.38	4.31	
ETH_00000275	-6.4	1.98	4.66	
ETH_00000280	2.6	5.85	4.48	
ETH_00000285	-2	0.3	1.33	
ETH_00000290	2.7	3.48	2.05	
ETH_00000295	1.9	3.36	2.43	
ETH_00000300	-4.2	5.36	7.42	
ETH_00000305	5.9	3.87	1.3	
ETH_00000310	-4.8	8.33	10.6	
ETH_00000315	-29.8	7.99	12.89	
ETH_00000320	2.6	5.47	4.12	
ETH_00000325	52.3	6.9	1.2	
ETH_00000330	-1.5	0.62	1.23	
ETH_00000335	1.1	6.59	6.52	
ETH_00000340	-5.5	0.95	3.42	
ETH_00000345	-3.7	1.02	2.93	
ETH_00000350	1	0	0	
ETH_00000355	1.9	1.54	0.62	
ETH_00000360	2.8	6.76	5.28	
ETH_00000365	9.9	8.78	5.47	
ETH_00000370	4.9	8.47	6.19	
ETH_00000375	-30.7	0.32	5.27	
ETH_00000380	-12.8	1.23	4.91	
ETH_00000385	-16.6	0.84	4.89	
ETH_00000395	-1.4	1.73	2.2	
ETH_00000400	1.6	2.22	1.58	
ETH_00000405	-1.2	0.34	0.62	
ETH_00000410	1.9	1.1	0.16	
ETH_00000415	-1.4	3.29	3.79	
ETH_00000420	-1.4	4.42	4.87	
ETH_00000425	2.9	2.16	0.62	
ETH_00000430	-10	1.2	4.53	
ETH_00000435	-1.3	5.45	5.88	
ETH_00000440	-1.7	3.53	4.26	
ETH_00000445	-3.1	2.83	4.46	
ETH_00000450	-8.9	4.42	7.58	
ETH_00000455	12.6	4.25	0.6	
ETH_00000460	44	6.35	0.89	
ETH_00000465	-15.5	3.62	7.58	
ETH_00000470	-9.3	0.84	4.05	
ETH_00000475	18.9	5.39	1.15	
ETH_00000480	-18.6	1.09	5.3	
ETH_00000485	-2	2.96	3.97	
ETH_00000490	3.8	6.72	4.8	
ETH_00000495	4.8	5.42	3.17	
ETH_00000500	1.8	0.92	0.07	
ETH_00000505	1.3	0.75	0.42	
ETH_00000510	2.4	1.57	0.32	
ETH_00000515	-1.2	5.51	5.74	
ETH_00000520	-10	2.18	5.5	
ETH_00000525	-3.2	1.53	3.23	
ETH_00000530	-1.2	3.85	4.14	
ETH_00000535	-1.3	0	0.41	
ETH_00000540	-1.1	0.17	0.33	
ETH_00000545	-1.1	0.38	0.51	
ETH_00000550	-11.7	0.55	4.09	
ETH_00000555	-1.2	0	0.23	
ETH_00000560	2.9	7.56	6.04	
ETH_00000565	1	0	0	
ETH_00000570	1.4	0.76	0.29	
ETH_00000575	-33.1	2.08	7.12	
ETH_00000580	2	0.98	0	
ETH_00000585	1.5	1.61	1.05	
ETH_00000590	-12.8	3.67	7.35	
ETH_00000595	1.5	5.67	5.06	
ETH_00000600	-1	0.24	0.25	
ETH_00000605	-6.3	0.77	3.41	
ETH_00000610	5.8	4.59	2.06	
ETH_00000615	2.5	3.72	2.43	
ETH_00000620	-16.6	1.8	5.85	
ETH_00000625	3.5	5.35	3.55	
ETH_00000630	2.5	1.31	0	
ETH_00000635	1.3	7.78	7.4	
ETH_00000640	1.7	5.87	5.14	
ETH_00000645	1.5	5.8	5.19	
ETH_00000650	2.1	5.14	4.04	
ETH_00000655	1.5	4.24	3.65	
ETH_00000660	-2.3	4.43	5.65	
ETH_00000665	-17.8	1.73	5.89	
ETH_00000670	4.3	2.9	0.8	
ETH_00000675	-4.4	2.83	4.98	
ETH_00000680	-13.8	1.17	4.95	
ETH_00000685	5.9	8.45	5.88	
ETH_00000700	-3.2	0	1.69	
ETH_00000705	1.3	0.61	0.24	
ETH_00000710	-3.3	4.14	5.86	
