Infection_No,Day_pi,Oocysts_injected,Mouse_strain,Mouse_group,Mouse_replicate,Weight_grams,Normalized_weight,Oocysts_feces
2,12,10,C57BL6,C,2,,96.6308243728,0
2,12,10,C57BL6,C,3,,99.7920133111,0
2,13,10,C57BL6,A,1,,93.9645308924,0
2,13,10,C57BL6,A,2,,98.5649747542,0
2,13,10,C57BL6,A,3,,98.0307076101,0
2,13,10,C57BL6,B,1,,100.8631851532,0
2,13,10,C57BL6,B,2,,93.0474604496,0
2,13,10,C57BL6,B,3,,100.6211180124,0
2,13,10,C57BL6,C,1,,102.0614389652,0
2,13,10,C57BL6,C,2,,96.8817204301,0
2,13,10,C57BL6,C,3,,100,0
2,14,10,C57BL6,A,1,,99.7374562427,0
2,14,10,C57BL6,A,2,,100.0270709258,0
2,14,10,C57BL6,A,3,,100.1337345369,0
2,14,10,C57BL6,B,1,,100.0431592577,0
2,14,10,C57BL6,B,2,,94.4213155704,0
2,14,10,C57BL6,B,3,,101.7080745342,0
2,14,10,C57BL6,C,1,,101.1721907842,0
2,14,10,C57BL6,C,2,,97.3835125448,0
2,14,10,C57BL6,C,3,,100.2079866889,444.4444446667
2,15,10,C57BL6,A,1,,101.3710618436,0
2,15,10,C57BL6,A,2,,101.1640498105,0
2,15,10,C57BL6,A,3,,100.0334336342,0
2,15,10,C57BL6,B,1,,96.2451445835,0
2,15,10,C57BL6,B,2,,94.5045795171,0
2,15,10,C57BL6,B,3,,98.2919254658,0
2,15,10,C57BL6,C,1,,101.6572352466,0
2,15,10,C57BL6,C,2,,95.8422939068,0
2,15,10,C57BL6,C,3,,96.921797005,0
