SampleNumber;SlideNumber;FileName;Cy3;Cy5;GErep
1;1;US22502595_251486811175rehyb_S01_GE2-v5_95_Feb07_1_1.txt;Uninf;X24h;1
1;1;US22502595_251486811175rehyb_S01_GE2-v5_95_Feb07_1_2.txt;X24h;Uninf;1
2;1;US22502595_251486811175rehyb_S01_GE2-v5_95_Feb07_1_3.txt;Uninf;X144h;2
2;1;US22502595_251486811175rehyb_S01_GE2-v5_95_Feb07_1_4.txt;X144h;Uninf;2
3;2;US22502595_251486811177_S01_GE2-v5_95_Feb07_1_1.txt;Uninf;X24h;1
3;2;US22502595_251486811177_S01_GE2-v5_95_Feb07_1_2.txt;X24h;Uninf;1
4;2;US22502595_251486811177_S01_GE2-v5_95_Feb07_1_3.txt;Uninf;X144h;2
4;2;US22502595_251486811177_S01_GE2-v5_95_Feb07_1_4.txt;X144h;Uninf;2
5;3;US22502595_251486811179_S01_GE2_105_Dec08_1_1.txt;Uninf;X24h;1
5;3;US22502595_251486811179_S01_GE2_105_Dec08_1_2.txt;X24h;Uninf;1
6;3;US22502595_251486811179_S01_GE2_105_Dec08_1_3.txt;Uninf;X144h;2
6;3;US22502595_251486811179_S01_GE2_105_Dec08_1_4.txt;X144h;Uninf;2
7;4;US22502595_251486830529_S01_GE2_105_Jan09_1_1.txt;Uninf;X4h;3
8;4;US22502595_251486830529_S01_GE2_105_Jan09_1_2.txt;Uninf;X16h;4
9;4;US22502595_251486830529_S01_GE2_105_Jan09_1_3.txt;X4h;Uninf;3
10;4;US22502595_251486830529_S01_GE2_105_Jan09_1_4.txt;X16h;Uninf;4
11;5;US22502595_251486830530_S01_GE2_105_Jan09_1_1.txt;Uninf;T4h;5
12;5;US22502595_251486830530_S01_GE2_105_Jan09_1_2.txt;Uninf;T16h;6
13;5;US22502595_251486830530_S01_GE2_105_Jan09_1_3.txt;T4h;Uninf;5
14;5;US22502595_251486830530_S01_GE2_105_Jan09_1_4.txt;T16h;Uninf;6
