[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	
ETH_00000010	2.1	3.93	2.83	
ETH_00000015	13.4	4.88	1.14	
ETH_00000020	83.3	6.68	0.3	
ETH_00000025	71.8	6.52	0.35	
ETH_00000030	-2.4	5.13	6.41	
ETH_00000040	28.9	6.34	1.49	
ETH_00000045	13.2	7.34	3.61	
ETH_00000050	4.2	5.47	3.4	
ETH_00000055	-3.7	3.83	5.72	
ETH_00000060	2.7	2.48	1.04	
ETH_00000065	-22.1	3.52	7.98	
ETH_00000070	1.1	5.13	4.95	
ETH_00000075	132.2	7.48	0.44	
ETH_00000080	32.3	5.12	0.11	
ETH_00000085	2.5	1.76	0.41	
ETH_00000090	2.1	1.81	0.72	
ETH_00000095	1.5	1.5	0.87	
ETH_00000100	1.7	1.73	1	
ETH_00000105	-6.9	3.18	5.98	
ETH_00000110	-4	4.54	6.54	
ETH_00000115	-1.2	0.12	0.42	
ETH_00000120	-1.2	0.2	0.5	
ETH_00000125	-3	8.4	9.97	
ETH_00000130	-2	5.14	6.15	
ETH_00000135	-123	0.47	7.41	
ETH_00000140	-1.1	0	0.11	
ETH_00000145	115	7.24	0.39	
ETH_00000150	-30	0.85	5.76	
ETH_00000155	-1.9	4.6	5.55	
ETH_00000160	-4.5	1.94	4.1	
ETH_00000165	2.4	6.38	5.1	
ETH_00000170	-2.1	2.17	3.22	
ETH_00000175	-3.6	3.06	4.9	
ETH_00000180	-36.7	2.15	7.35	
ETH_00000185	2.9	2.81	1.29	
ETH_00000190	-2.2	4.17	5.3	
ETH_00000195	-2.9	6.21	7.77	
ETH_00000200	106.5	10.68	3.95	
ETH_00000205	-1.2	0.99	1.27	
ETH_00000210	3.2	11.49	9.83	
ETH_00000215	2	2.3	1.31	
ETH_00000220	-2.5	4.15	5.48	
ETH_00000225	1.2	1.11	0.81	
ETH_00000230	31.9	5.88	0.88	
ETH_00000235	-8.8	2.9	6.03	
ETH_00000240	-3.8	5.49	7.41	
ETH_00000245	-3.2	2.78	4.48	
ETH_00000250	1.8	0.83	0	
ETH_00000255	-5	2.75	5.06	
ETH_00000260	25.9	4.97	0.27	
ETH_00000265	7.9	3.8	0.82	
ETH_00000270	-2.9	2.79	4.31	
ETH_00000275	-9.3	1.44	4.66	
ETH_00000280	139.6	11.61	4.48	
ETH_00000285	-1.9	0.41	1.33	
ETH_00000290	3.2	3.71	2.05	
ETH_00000295	3.3	4.15	2.43	
ETH_00000300	1.9	8.34	7.42	
ETH_00000305	8.2	4.34	1.3	
ETH_00000310	-41.5	5.22	10.6	
ETH_00000315	-963.5	2.98	12.89	
ETH_00000320	3.3	5.86	4.12	
ETH_00000325	45.3	6.7	1.2	
ETH_00000330	-1.7	0.47	1.23	
ETH_00000335	-8.4	3.45	6.52	
ETH_00000340	-1.9	2.47	3.42	
ETH_00000345	-2.9	1.37	2.93	
ETH_00000350	1.2	0.22	0	
