[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	
ETH_00000355	3.7	2.53	0.62	
ETH_00000360	-1.3	4.95	5.28	
ETH_00000365	-2.9	3.95	5.47	
ETH_00000370	-7.1	3.35	6.19	
ETH_00000375	-12.3	1.65	5.27	
ETH_00000380	-13.2	1.18	4.91	
ETH_00000385	-8.6	1.78	4.89	
ETH_00000395	-4.6	0	2.2	
ETH_00000400	1.3	1.98	1.58	
ETH_00000405	-1.5	0	0.62	
ETH_00000410	1.4	0.61	0.16	
ETH_00000415	1.5	4.36	3.79	
ETH_00000420	-4.5	2.71	4.87	
ETH_00000425	20.4	4.97	0.62	
ETH_00000430	1.4	5.03	4.53	
ETH_00000435	-5.5	3.41	5.88	
ETH_00000440	2	5.23	4.26	
ETH_00000445	1.6	5.1	4.46	
ETH_00000450	-46.3	2.05	7.58	
ETH_00000455	12	4.18	0.6	
ETH_00000460	20.9	5.27	0.89	
ETH_00000465	-6.6	4.87	7.58	
ETH_00000470	-1.3	3.7	4.05	
ETH_00000475	34.6	6.26	1.15	
ETH_00000480	-5.8	2.76	5.3	
ETH_00000485	5.3	6.38	3.97	
ETH_00000490	1.9	5.74	4.8	
ETH_00000495	2.7	4.59	3.17	
ETH_00000500	1	0.13	0.07	
ETH_00000505	1.4	0.85	0.42	
ETH_00000510	3.1	1.96	0.32	
ETH_00000515	-2.9	4.21	5.74	
ETH_00000520	2.8	6.97	5.5	
ETH_00000525	5.2	5.59	3.23	
ETH_00000530	3	5.73	4.14	
ETH_00000535	-1.3	0	0.41	
ETH_00000540	-1.3	0	0.33	
ETH_00000545	-1.4	0	0.51	
ETH_00000550	-5.8	1.55	4.09	
ETH_00000555	-1	0.21	0.23	
ETH_00000560	1.4	6.54	6.04	
ETH_00000565	1	0	0	
ETH_00000570	1	0.33	0.29	
ETH_00000575	-112.4	0.31	7.12	
ETH_00000580	4.8	2.26	0	
ETH_00000585	8.8	4.19	1.05	
ETH_00000590	-3.3	5.62	7.35	
ETH_00000595	10.1	8.4	5.06	
ETH_00000600	2.5	1.57	0.25	
ETH_00000605	-10.6	0	3.41	
ETH_00000610	-1.3	1.66	2.06	
ETH_00000615	-1.2	2.13	2.43	
ETH_00000620	-32.7	0.82	5.85	
ETH_00000625	75.9	9.8	3.55	
ETH_00000630	4.1	2.02	0	
ETH_00000635	-16.1	3.39	7.4	
ETH_00000640	-35.2	0	5.14	
ETH_00000645	-1.1	5.05	5.19	
ETH_00000650	1.3	4.4	4.04	
ETH_00000655	-2.6	2.28	3.65	
ETH_00000660	-1.2	5.35	5.65	
ETH_00000665	-48.5	0.29	5.89	
ETH_00000670	5.4	3.22	0.8	
ETH_00000675	-15.9	0.99	4.98	
ETH_00000680	4.9	7.25	4.95	
ETH_00000685	4.1	7.9	5.88	
ETH_00000700	5	4.02	1.69	
ETH_00000705	53.1	5.96	0.24	
ETH_00000710	-1.9	4.97	5.86	
ETH_00000715	-1.6	5.07	5.78	
ETH_00000745	1	0	0	
ETH_00000750	1.1	0.14	0	
ETH_00000755	22.9	6.05	1.54	
ETH_00000760	1.5	5.8	5.17	
ETH_00000765	-3.9	4.04	6.01	
ETH_00000770	4.7	3.68	1.45	
ETH_00000775	-1.5	1.14	1.7	
ETH_00000780	-7.1	2.01	4.85	
ETH_00000785	1.2	1.35	1.08	
ETH_00000790	1.2	0.77	0.48	
ETH_00000795	-16.7	1.75	5.81	
ETH_00000800	2.3	5.86	4.66	
ETH_00000805	5.2	5.41	3.04	
ETH_00000810	11	5.82	2.36	
ETH_00000815	12.7	3.7	0.04	
ETH_00000820	-1.2	0	0.2	
ETH_00000825	-1.1	6.5	6.65	
ETH_00000830	-8.8	2.27	5.41	
ETH_00000835	3.9	4.57	2.61	
ETH_00000840	-1.1	0.16	0.24	
ETH_00000845	50.5	5.73	0.07	
ETH_00000850	-5	0.53	2.84	
ETH_00000855	1.2	0.49	0.2	
ETH_00000860	-1.5	0.3	0.86	
ETH_00000865	-1.4	3.56	4.06	
ETH_00000870	5.5	2.72	0.26	
ETH_00000875	-1	8.06	8.08	
ETH_00000880	-13.2	0.36	4.08	
ETH_00000885	23.9	4.58	0	
ETH_00000890	3.8	5.21	3.3	
ETH_00000895	-6.5	1.83	4.52	
ETH_00000900	-18.6	2.17	6.39	
ETH_00000905	-263.5	0.5	8.54	
ETH_00000910	-35.5	2.1	7.25	
ETH_00000915	1.7	5.13	4.35	
ETH_00000920	-23.2	1.08	5.62	
ETH_00000925	3.6	7.23	5.4	
ETH_00000930	80.7	6.77	0.43	
ETH_00000935	1.7	4.9	4.17	
ETH_00000940	-2.6	0.74	2.11	
ETH_00000945	5.5	3.19	0.74	
ETH_00000950	2.3	6.56	5.33	
ETH_00000955	-1.7	4.27	5.03	
ETH_00000960	-6.2	4.88	7.51	
ETH_00000965	-5.3	3.33	5.75	
ETH_00000970	1.2	0.9	0.68	
ETH_00000975	-3.5	4.22	6.04	
ETH_00000980	5.1	3.4	1.05	
ETH_00000985	3	5.98	4.4	
ETH_00000990	1.8	2.18	1.36	
ETH_00000995	-2.2	0.45	1.6	
ETH_00001000	2.5	1.33	0	
ETH_00001005	1.2	0.23	0	
ETH_00001010	-1.3	5.15	5.52	
ETH_00001015	1.7	5.01	4.23	
ETH_00001020	27.9	4.86	0.06	
ETH_00001025	461.3	9.45	0.6	
ETH_00001030	1.1	6.31	6.2	
ETH_00001035	-69.3	0.23	6.34	
ETH_00001040	1.8	2.13	1.24	
ETH_00001045	-1.1	0.47	0.59	
ETH_00001050	-14.3	2.01	5.85	
ETH_00001055	-2.1	2.07	3.12	
ETH_00001060	30.5	5.32	0.39	
ETH_00001065	-2.5	3.35	4.66	
ETH_00001070	-2.8	3.13	4.61	
ETH_00001075	-1.8	3.15	4.01	
ETH_00001080	41.1	7.53	2.17	
ETH_00001085	-1.1	0.17	0.27	
ETH_00001090	6.8	2.8	0.03	
ETH_00001105	-1	1.87	1.89	
ETH_00001110	1	0	0	
ETH_00001115	1	0	0	
ETH_00001120	44.3	5.89	0.42	
ETH_00001125	103.4	10.62	3.92	
ETH_00001130	91.5	10.45	3.93	
ETH_00001135	3.5	2.19	0.38	
ETH_00001140	-1.2	3.55	3.88	
ETH_00001145	-1.2	5.9	6.11	
ETH_00001150	2	5.8	4.79	
ETH_00001155	1.4	0.52	0	
ETH_00001160	1.7	6.65	5.92	
ETH_00001165	4.4	3.2	1.06	
ETH_00001170	-1.1	2.88	2.99	
ETH_00001175	1.3	7.13	6.73	
ETH_00001180	1.2	5.13	4.85	
ETH_00001185	20.1	10.01	5.68	
ETH_00001190	-4.4	2.91	5.06	
ETH_00001195	-1.2	0.23	0.46	
ETH_00001200	-1.2	0.78	1.07	
ETH_00001205	7.3	3.52	0.65	
ETH_00001210	-61.9	0.7	6.66	
ETH_00001215	-30.8	0.19	5.13	
ETH_00001220	-70.7	0.04	6.19	
ETH_00001225	23.1	6.94	2.41	
ETH_00001230	-22.4	0.28	4.77	
ETH_00001235	-102.1	0.84	7.52	
ETH_00001240	1.5	7.05	6.45	
ETH_00001245	1.2	0.38	0.12	
ETH_00001250	2.6	1.46	0.07	
ETH_00001255	11.8	4.78	1.22	
ETH_00001260	-13.7	0.7	4.48	
ETH_00001265	-1	0.22	0.24	
ETH_00001270	5.4	5.81	3.38	
ETH_00001275	7.1	4.5	1.67	
ETH_00001280	-112.1	0.21	7.02	
ETH_00001285	4.4	2.57	0.42	
ETH_00001290	44.1	6.47	1.01	
ETH_00001295	4.1	5.03	2.99	
ETH_00001300	-1.4	1.52	1.99	
ETH_00001305	3.2	1.82	0.16	
ETH_00001310	2.6	1.65	0.27	
ETH_00001315	-74.5	0.91	7.13	
ETH_00001320	10.3	5.82	2.46	
ETH_00001325	4.4	6.09	3.97	
ETH_00001330	-280.7	0.23	8.36	
ETH_00001335	-12.4	3.59	7.21	
ETH_00001340	-1.1	4.43	4.59	
ETH_00001345	4.4	2.58	0.44	
ETH_00001360	12.1	4.2	0.6	
ETH_00001365	2.3	1.55	0.32	
ETH_00001370	29.3	5.4	0.52	
ETH_00001375	3.2	1.81	0.14	
ETH_00001380	20.6	7.56	3.19	
ETH_00001385	5	4.75	2.43	
ETH_00001390	-1.6	4.48	5.18	
ETH_00001395	-3.9	1.24	3.22	
ETH_00001400	2.4	1.34	0.05	
ETH_00001405	21.5	6.13	1.7	
ETH_00001410	13.6	5.42	1.66	
ETH_00001415	21.7	5.69	1.25	
ETH_00001420	1.5	0.73	0.13	
ETH_00001425	-5.3	4.54	6.94	
ETH_00001430	-19.6	0.83	5.12	
ETH_00001435	2.4	5.45	4.21	
ETH_00001440	4.7	5.22	2.99	
ETH_00001445	11.7	6.21	2.66	
ETH_00001450	2.2	4.18	3.06	
ETH_00001455	1	0	0	
ETH_00001460	1.1	0.16	0	
ETH_00001465	65.8	6.21	0.17	
ETH_00001470	6.3	2.75	0.1	
ETH_00001475	16.3	4.38	0.35	
ETH_00001480	15.9	4.3	0.31	
ETH_00001485	1.3	1.63	1.28	
ETH_00001490	-25.6	1.26	5.94	
ETH_00001495	25.8	9.64	4.95	
ETH_00001500	48.7	6.84	1.24	
ETH_00001505	-1.4	0.78	1.25	
ETH_00001510	18.5	6.75	2.54	
ETH_00001515	-3.9	5.79	7.74	
ETH_00001520	1.2	0.35	0.06	
ETH_00001525	-1.8	4.7	5.55	
ETH_00001530	4.6	4.81	2.61	
ETH_00001535	7.7	4.02	1.07	
ETH_00001540	-34.8	0.84	5.96	
ETH_00001545	1	4.17	4.13	
ETH_00001550	1.1	0.68	0.6	
ETH_00001555	3.2	4.87	3.2	
ETH_00001560	3.4	6.72	4.98	
ETH_00001565	11.7	4.15	0.61	
ETH_00001570	-2.4	2.84	4.09	
ETH_00001575	-1.3	3.75	4.16	
ETH_00001580	55.2	7.1	1.31	
ETH_00001585	1.4	2.31	1.87	
ETH_00001590	-2	2.66	3.68	
ETH_00001595	-5.2	1.63	4.01	
ETH_00001600	-4.1	3.91	5.94	
ETH_00001605	-1.7	4.31	5.11	
ETH_00001610	1.4	2.72	2.27	
ETH_00001615	6.1	10	7.39	
ETH_00001620	-1.7	4.47	5.25	
ETH_00001625	2.6	2.82	1.45	
ETH_00001630	-1.5	1.14	1.76	
ETH_00001635	2.9	2.78	1.24	
ETH_00001640	1.1	5	4.83	
ETH_00001645	-1.4	1.78	2.29	
ETH_00001650	-10.6	5.19	8.59	
ETH_00001655	9.8	3.43	0.14	
ETH_00001660	23.4	5.05	0.49	
ETH_00001665	65.2	7.19	1.16	
ETH_00001670	-3	0.24	1.83	
ETH_00001675	1.1	3.9	3.72	
ETH_00001680	7.7	4.05	1.11	
ETH_00001685	1.9	0.95	0.03	
ETH_00001690	2.4	1.86	0.58	
ETH_00001695	-6.8	5.33	8.1	
ETH_00001700	14.4	4.81	0.97	
ETH_00001705	-2	0.39	1.43	
ETH_00001710	1.2	4.89	4.62	
ETH_00001715	12.7	6.52	2.85	
ETH_00001720	1.2	6.35	6.11	
ETH_00001725	-60.8	4.98	10.91	
ETH_00001730	-1068.8	0.8	10.86	
ETH_00001735	-1.9	4.24	5.18	
ETH_00001740	3.9	5	3.03	
ETH_00001745	22.4	5.81	1.33	
ETH_00001750	15	5.52	1.62	
ETH_00001755	-2	0.06	1.07	
ETH_00001760	1.3	1.18	0.83	
ETH_00001765	-6.1	4.87	7.49	
ETH_00001770	-13	1.77	5.47	
ETH_00001775	4.4	6.25	4.12	
ETH_00001780	2	6.03	5.04	
ETH_00001785	1.2	4.47	4.21	
ETH_00001790	1.6	0.82	0.12	
ETH_00001795	-2.5	4.99	6.32	
ETH_00001800	-123.4	1.6	8.55	
ETH_00001805	46	6.6	1.07	
ETH_00001810	20.3	5.29	0.94	
ETH_00001815	-2.9	0	1.53	
ETH_00001820	6.8	4.97	2.21	
ETH_00001825	-44.2	2.36	7.82	
ETH_00001830	1	0	0	
ETH_00001835	1	0	0	
ETH_00001840	22.3	4.58	0.1	
ETH_00001845	279.5	8.94	0.82	
ETH_00001850	-2.2	1.92	3.07	
ETH_00001855	-1.5	5.97	6.58	
ETH_00001860	1.2	2	1.7	
ETH_00001865	16.7	4.28	0.22	
ETH_00001870	211.1	8.2	0.48	
ETH_00001875	1.2	0.32	0	
ETH_00001880	1.3	1.87	1.44	
ETH_00001885	-1.1	0.15	0.31	
ETH_00001890	-11.5	3.03	6.54	
ETH_00001895	-1.8	0.52	1.34	
ETH_00001900	-5.4	0.12	2.57	
ETH_00001905	1.1	4.56	4.37	
ETH_00001910	2.5	4.82	3.5	
ETH_00001915	6.6	4.52	1.81	
ETH_00001920	-1714.1	3.94	14.69	
ETH_00001925	-1.5	0	0.6	
ETH_00001930	-2.9	4.64	6.18	
ETH_00001935	2.7	6.23	4.8	
ETH_00001940	9.7	4.25	0.97	
ETH_00001945	73.2	7.49	1.29	
ETH_00001950	-149	0.83	8.05	
ETH_00001955	9.6	4.44	1.18	
ETH_00001960	8.6	3.37	0.26	
ETH_00001965	-3.2	6.07	7.77	
ETH_00001970	-1.4	0.52	1.01	
ETH_00001975	66.3	6.12	0.06	
ETH_00001980	-93.9	0.69	7.24	
ETH_00001985	2.8	3.9	2.4	
ETH_00001990	11.5	4.28	0.75	
ETH_00001995	2.2	1.35	0.21	
ETH_00002000	3.8	7.84	5.89	
ETH_00002005	-1.2	0.21	0.48	
ETH_00002010	-2.9	3.52	5.05	
ETH_00002015	-14.6	4.12	7.98	
ETH_00002020	446.9	8.97	0.16	
ETH_00002025	-4.4	2.73	4.88	
ETH_00002030	-1.2	4.39	4.62	
ETH_00002035	10.2	8.26	4.91	
ETH_00002040	1.6	2.08	1.39	
ETH_00002045	1	0.3	0.3	
ETH_00002050	-43.5	0.73	6.18	
ETH_00002055	-45.6	0.87	6.38	
ETH_00002060	-14.4	4.7	8.55	
ETH_00002065	3	2.94	1.37	
ETH_00002070	4.5	6.09	3.92	
ETH_00002075	-2.5	1.14	2.46	
ETH_00002080	-2.8	2.1	3.6	
ETH_00002085	3.2	1.81	0.12	
ETH_00002090	-224.1	2.05	9.86	
ETH_00002095	-1.8	4.62	5.49	
ETH_00002100	-13.2	2.33	6.04	
ETH_00002105	-2.5	3.98	5.31	
ETH_00002110	-35.1	1.39	6.52	
ETH_00002115	4.2	6.37	4.31	
ETH_00002120	-8.6	5.23	8.34	
ETH_00002125	2.4	2.32	1.08	
ETH_00002130	3.4	4.79	3.02	
ETH_00002135	26.8	5.14	0.4	
ETH_00002140	1.2	4.2	3.92	
ETH_00002145	-2.1	0.74	1.8	
ETH_00002150	31.9	5.15	0.16	
ETH_00002155	-3.9	5.7	7.66	
ETH_00002160	9.3	7.2	3.98	
ETH_00002165	69.1	6.11	0	
ETH_00002170	-1	0.44	0.51	
ETH_00002175	-2.8	3.73	5.2	
ETH_00002180	-2.4	5.52	6.76	
ETH_00002185	5.1	5.42	3.07	
ETH_00002190	3.8	6.33	4.43	
ETH_00002195	-4.7	0	2.24	
ETH_00002200	40.4	9.16	3.83	
ETH_00002205	6.9	10.11	7.33	
ETH_00002210	11.3	5.71	2.22	
ETH_00002215	-4.4	3.27	5.39	
ETH_00002220	1.5	4.05	3.46	
ETH_00002225	1.3	3.72	3.35	
ETH_00002230	-1.2	6.5	6.79	
ETH_00002235	-3.3	3.58	5.33	
ETH_00002240	-2.7	3.85	5.28	
ETH_00002245	-3.7	4.05	5.93	
ETH_00002250	10	6.89	3.57	
ETH_00002255	-1.6	6.63	7.31	
ETH_00002260	2.4	7.11	5.82	
ETH_00002265	11	3.55	0.09	
ETH_00002270	1.4	1.57	1.11	
ETH_00002275	-4	0.76	2.76	
ETH_00002280	9.4	3.63	0.39	
ETH_00002285	12.9	4.15	0.45	
ETH_00002290	5.2	6.31	3.94	
ETH_00002295	-5.1	1.82	4.18	
ETH_00002300	-1.4	1.56	2.06	
ETH_00002305	-33.6	0.94	6.01	
ETH_00002310	41.7	6.22	0.84	
ETH_00002315	3.7	5.83	3.95	
ETH_00002320	-1.1	0	0.11	
ETH_00002325	83.6	8	1.62	
ETH_00002330	15.4	6.38	2.43	
ETH_00002335	-1	0.46	0.5	
ETH_00002340	2.3	5.15	3.96	
ETH_00002345	1.3	0.76	0.4	
ETH_00002350	1.3	0.35	0	
ETH_00002355	-19.7	1.44	5.74	
ETH_00002360	-3.7	3.73	5.6	
ETH_00002365	-3.7	1.5	3.4	
ETH_00002370	1.5	2.39	1.81	
ETH_00002375	-1.2	3.72	3.94	
ETH_00002380	1	0	0	
ETH_00002385	5.6	2.91	0.42	
ETH_00002390	2.2	4.16	3.01	
ETH_00002395	5.7	2.52	0	
ETH_00002400	10.1	3.34	0	
ETH_00002405	1.7	0.83	0.08	
ETH_00002410	49.3	5.94	0.32	
ETH_00002415	1.2	4.09	3.85	
ETH_00002420	-9.1	1.26	4.45	
ETH_00002425	-4.6	1.25	3.45	
ETH_00002430	2.1	1.8	0.71	
ETH_00002435	2.4	1.75	0.46	
ETH_00002440	-1.7	3.88	4.64	
ETH_00002445	8.9	5.73	2.57	
ETH_00002450	8.6	7.39	4.29	
ETH_00002455	1.2	3.77	3.55	
ETH_00002460	-16.8	0.23	4.3	
ETH_00002465	-1.8	0	0.86	
ETH_00002470	-4.8	4.57	6.83	
ETH_00002475	-5	3.5	5.82	
ETH_00002480	8.9	5.08	1.93	
ETH_00002485	1.8	2.23	1.35	
ETH_00002490	-1	3.39	3.42	
ETH_00002495	1.2	0.7	0.43	
ETH_00002500	1.2	0.76	0.45	
ETH_00002505	1.5	4.61	4.02	
ETH_00002510	1.3	5.34	4.96	
ETH_00002515	-6.9	2.42	5.21	
ETH_00002520	-27	5.57	10.33	
ETH_00002525	-1	0.09	0.15	
ETH_00002530	30.2	5.52	0.61	
ETH_00002535	21.4	6.69	2.28	
ETH_00002540	-1.6	5.25	5.9	
ETH_00002545	-2.3	2.94	4.13	
ETH_00002550	1.4	4.49	4	
ETH_00002555	-2	0.33	1.36	
ETH_00002560	-19	0.32	4.57	
ETH_00002565	-2.1	4.79	5.89	
ETH_00002570	-10	4.31	7.62	
ETH_00002575	-2.1	4.87	5.96	
ETH_00002580	1.6	4.42	3.77	
ETH_00002585	1.2	2.35	2.1	
ETH_00002590	11.2	6.55	3.07	
ETH_00002595	-9.5	0.67	3.92	
ETH_00002600	-2.8	3.35	4.83	
ETH_00002605	1.4	7	6.54	
ETH_00002610	6.5	2.83	0.13	
ETH_00002615	3.8	4.6	2.67	
ETH_00002620	10.3	4.38	1.02	
ETH_00002625	-1.8	7.85	8.69	
ETH_00002630	3.4	5.45	3.68	
ETH_00002635	13.7	6.07	2.3	
ETH_00002650	12.7	4.89	1.22	
ETH_00002655	25.6	6.19	1.51	
ETH_00002660	-515.1	0.19	9.19	
ETH_00002665	15.9	4.2	0.21	
ETH_00002670	3.8	3.96	2.03	
ETH_00002675	2.3	5.91	4.71	
ETH_00002680	8.7	4.86	1.75	
ETH_00002685	9.1	3.77	0.58	
ETH_00002690	-13.1	0.94	4.65	
ETH_00002695	-2	5.09	6.09	
ETH_00002700	4.1	4.95	2.9	
ETH_00002705	6.6	2.78	0.04	
ETH_00002710	-3.8	0.85	2.78	
ETH_00002715	-58.4	0.94	6.81	
ETH_00002720	2	3.11	2.13	
ETH_00002725	1.6	5.22	4.52	
ETH_00002730	2	2.28	1.25	
ETH_00002735	-156.5	0.2	7.49	
ETH_00002740	7.1	3.45	0.63	
ETH_00002745	1.3	0.71	0.36	
ETH_00002750	1.4	3.66	3.14	
ETH_00002755	-2.4	3.45	4.72	
ETH_00002760	2.2	1.92	0.77	
ETH_00002765	-134.3	0.2	7.27	
ETH_00002770	-3	0.46	2.05	
ETH_00002775	26	8.05	3.35	
ETH_00002780	-793.8	0.13	9.77	
ETH_00002785	2.4	3.91	2.66	
ETH_00002790	-1	5.2	5.2	
ETH_00002795	2.7	8.46	7.02	
ETH_00002800	2	5.43	4.43	
ETH_00002805	-114.9	2.36	9.21	
ETH_00002810	9.6	6.88	3.62	
ETH_00002815	81.1	10.39	4.05	
ETH_00002820	1.8	5.19	4.32	
ETH_00002825	-20	2.4	6.72	
ETH_00002830	1.4	0.72	0.28	
ETH_00002835	2	3.77	2.8	
ETH_00002840	34	6.98	1.89	
ETH_00002845	89.4	6.66	0.18	
ETH_00002850	6.3	2.93	0.27	
ETH_00002855	-4.8	2.65	4.9	
ETH_00002860	-1.2	4.21	4.44	
ETH_00002865	1.2	0.53	0.27	
ETH_00002870	-1.1	0	0.15	
ETH_00002875	1.1	6.7	6.51	
ETH_00002880	-3.1	2.92	4.54	
ETH_00002885	-2	0.28	1.25	
ETH_00002890	-1.3	2.95	3.32	
ETH_00002895	1	0	0	
ETH_00002900	1.3	0.42	0	
ETH_00002905	8.4	5.65	2.57	
ETH_00002910	8.2	5.09	2.05	
ETH_00002915	11.9	4.12	0.54	
ETH_00002920	4.1	5.99	3.97	
ETH_00002925	-1.8	2.11	2.99	
ETH_00002930	2.7	3.93	2.51	
ETH_00002935	-21.1	0.63	5.03	
ETH_00002940	-1.5	4.43	5	
ETH_00002945	9.6	8.4	5.13	
ETH_00002950	-186.9	1.52	9.07	
ETH_00002955	1.7	5.02	4.27	
ETH_00002960	1.1	4.07	3.94	
ETH_00002965	4	4.58	2.6	
ETH_00002970	4	2.09	0.09	
ETH_00002975	19.7	5.93	1.64	
ETH_00002980	12.7	6.19	2.52	
ETH_00002985	1	0.88	0.86	
ETH_00002990	-1.4	6.01	6.45	
ETH_00002995	1	0	0	
ETH_00003000	1	0	0	
ETH_00003005	15.2	4.49	0.57	
ETH_00003010	-1.1	1.31	1.46	
ETH_00003015	13.2	4.23	0.5	
ETH_00003020	2.2	4.25	3.1	
ETH_00003025	-2.9	2.02	3.57	
ETH_00003030	-1.8	3.17	3.99	
ETH_00003035	7.4	5.09	2.2	
ETH_00003040	2.2	7.3	6.17	
ETH_00003045	1.1	0.57	0.48	
ETH_00003050	35.1	8.5	3.37	
ETH_00003055	1.6	2.81	2.12	
ETH_00003060	7.9	6.58	3.6	
ETH_00003065	-1.4	4.8	5.26	
ETH_00003070	2.4	3.64	2.38	
ETH_00003075	-1.3	6.72	7.11	
ETH_00003080	5.5	4.23	1.77	
ETH_00003085	-3	1.15	2.74	
ETH_00003090	4.4	2.38	0.26	
ETH_00003095	-3.5	3.39	5.21	
ETH_00003100	-13	3.71	7.41	
ETH_00003105	-2.6	4.3	5.68	
ETH_00003110	3.3	2.39	0.68	
ETH_00003115	23.8	5.88	1.31	
ETH_00003120	7.5	5.7	2.79	
ETH_00003125	3.6	5.2	3.36	
ETH_00003130	9.5	3.61	0.37	
ETH_00003135	1.5	1.98	1.44	
ETH_00003140	1.4	0.46	0	
ETH_00003145	1	1.64	1.6	
ETH_00003150	1.9	3.16	2.2	
ETH_00003155	-9.2	3.59	6.79	
ETH_00003160	-2.6	0.76	2.12	
ETH_00003165	-1.7	2.02	2.82	
ETH_00003170	-1.6	2.33	3	
ETH_00003175	-2.7	2.82	4.26	
ETH_00003180	-4.1	3.86	5.9	
ETH_00003185	-1.2	4.88	5.17	
ETH_00003190	2.1	6.76	5.66	
ETH_00003195	25.3	6.02	1.36	
ETH_00003200	6.7	5.44	2.7	
ETH_00003205	-2.7	1.32	2.74	
ETH_00003210	7	3.97	1.15	
ETH_00003215	2.8	3.91	2.41	
ETH_00003220	-12.4	1.49	5.13	
ETH_00003225	1.2	7.24	6.93	
ETH_00003230	-1601.7	1.01	11.65	
ETH_00003235	-1.8	1.99	2.87	
ETH_00003240	-13.3	0.12	3.85	
ETH_00003245	5.6	6.37	3.88	
ETH_00003250	25.7	6.48	1.79	
ETH_00003255	-5.2	3	5.37	
ETH_00003260	3.3	6.44	4.7	
ETH_00003265	-7.4	1.87	4.76	
ETH_00003270	-40.8	1.15	6.5	
ETH_00003275	-1.2	0	0.31	
ETH_00003280	6.5	6.17	3.47	
ETH_00003285	1.3	0.37	0	
ETH_00003290	3.7	2.2	0.33	
ETH_00003295	23.4	4.75	0.2	
ETH_00003300	2.5	3.69	2.38	
ETH_00003305	-1.3	1.77	2.13	
ETH_00003310	2.1	6.13	5.06	
ETH_00003315	3.5	3.74	1.91	
ETH_00003320	-9.7	0.34	3.62	
ETH_00003325	4.5	5.32	3.16	
ETH_00003330	-6.6	1.47	4.19	
ETH_00003335	-10	1.31	4.64	
ETH_00003340	4.8	5.47	3.2	
ETH_00003345	31.9	5.32	0.32	
ETH_00003350	67.4	6.6	0.53	
ETH_00003355	12.5	4.32	0.67	
ETH_00003360	-1.8	5.6	6.45	
ETH_00003365	-26.1	2.41	7.12	
ETH_00003370	-1	0.31	0.33	
ETH_00003375	-1.1	0.71	0.88	
ETH_00003380	-4.6	2.27	4.47	
ETH_00003385	-32.4	1.15	6.16	
ETH_00003390	3.1	6.58	4.96	
