"","x"
"1","EfaB_MINUS_43533.g2771"
"2","EfaB_MINUS_800.g88"
"3","EfaB_PLUS_25458.g2116"
"4","EfaB_PLUS_28203.g2233"
"5","EfaB_MINUS_14978.g1259"
"6","EfaB_PLUS_43533.g2649"
"7","EfaB_MINUS_9917.g904"
"8","EfaB_MINUS_27262.g2269"
"9","EfaB_PLUS_13222.g1107"
"10","EfaB_MINUS_4686.g424"
"11","EfaB_MINUS_16742.g1480"
"12","EfaB_MINUS_14978.g1265"
"13","EfaB_MINUS_7742.g770"
"14","EfaB_PLUS_43533.g2658"
"15","EfaB_MINUS_31746.g2440"
"16","EfaB_MINUS_11882.g1049"
"17","EfaB_PLUS_14978.g1236"
"18","EfaB_PLUS_17195.g1492"
"19","EfaB_PLUS_6743.g621"
"20","EfaB_MINUS_23143.g1995"
"21","EfaB_MINUS_10843.g935"
"22","EfaB_MINUS_25052.g2121"
"23","EfaB_MINUS_43533.g2734"
"24","EfaB_PLUS_5788.g531"
"25","EfaB_PLUS_1068.g137"
"26","EfaB_PLUS_1425.g183"
"27","EfaB_PLUS_42416.g2593"
"28","EfaB_MINUS_15349.g1308"
"29","EfaB_MINUS_11414.g1001"
"30","EfaB_MINUS_21549.g1860"
"31","EfaB_MINUS_3881.g378"
"32","EfaB_MINUS_11414.g1007"
"33","EfaB_MINUS_23143.g1993"
"34","EfaB_PLUS_32574.g2361"
"35","EfaB_MINUS_12065.g1059"
"36","EfaB_PLUS_3469.g353"
"37","EfaB_MINUS_15697.g1407"
"38","EfaB_PLUS_56725.g2796"
"39","EfaB_MINUS_43533.g2726"
"40","EfaB_PLUS_10843.g921"
"41","EfaB_MINUS_11414.g999"
"42","EfaB_PLUS_52892.g2759"
"43","EfaB_MINUS_3469.g366"
"44","EfaB_MINUS_9917.g908"
"45","EfaB_MINUS_7703.g722"
"46","EfaB_PLUS_22240.g1808"
"47","EfaB_PLUS_2387.g283"
"48","EfaB_MINUS_15758.g1433"
"49","EfaB_MINUS_720.g61"
"50","EfaB_PLUS_7048.g672"
"51","EfaB_PLUS_25458.g2125"
"52","EfaB_MINUS_7048.g694"
"53","EfaB_MINUS_23210.g2022"
"54","EfaB_PLUS_17907.g1561"
"55","EfaB_MINUS_2387.g302"
"56","EfaB_PLUS_7048.g666"
"57","EfaB_PLUS_5788.g537"
"58","EfaB_MINUS_20412.g1827"
"59","EfaB_PLUS_9382.g882"
"60","EfaB_MINUS_20371.g1761"
"61","EfaB_PLUS_11124.g950"
"62","EfaB_MINUS_20371.g1765"
"63","EfaB_PLUS_27383.g2190"
"64","EfaB_PLUS_31151.g2280"
"65","EfaB_PLUS_3222.g330"
"66","EfaB_PLUS_1425.g177"
"67","EfaB_PLUS_52892.g2766"
"68","EfaB_MINUS_56725.g2936"
"69","EfaB_MINUS_23210.g2034"
"70","EfaB_PLUS_5670.g492"
"71","EfaB_MINUS_58361.g3001"
"72","EfaB_MINUS_5767.g493"
"73","EfaB_MINUS_15648.g1369"
"74","EfaB_MINUS_31498.g2419"
"75","EfaB_MINUS_20412.g1807"
"76","EfaB_MINUS_42416.g2689"
"77","EfaB_MINUS_56725.g2978"
"78","EfaB_MINUS_34010.g2542"
"79","EfaB_PLUS_5792.g559"
"80","EfaB_MINUS_11882.g1036"
"81","EfaB_MINUS_20412.g1805"
"82","EfaB_MINUS_58361.g2998"
"83","EfaB_PLUS_17195.g1498"
"84","EfaB_MINUS_10843.g948"
"85","EfaB_MINUS_20371.g1747"
"86","EfaB_PLUS_5727.g508"
"87","EfaB_MINUS_6743.g593"
"88","EfaB_MINUS_720.g64"
"89","EfaB_PLUS_31498.g2293"
"90","EfaB_MINUS_4325.g418"
"91","EfaB_PLUS_7742.g794"
"92","EfaB_PLUS_13222.g1110"
"93","EfaB_PLUS_7900.g810"
"94","EfaB_PLUS_11280.g971"
"95","EfaB_MINUS_4891.g455"
"96","EfaB_PLUS_1425.g178"
"97","EfaB_MINUS_25458.g2211"
"98","EfaB_PLUS_50714.g2738"
"99","EfaB_PLUS_497.g45"
"100","EfaB_MINUS_12065.g1064"
"101","EfaB_MINUS_4849.g439"
"102","EfaB_PLUS_22284.g1815"
"103","EfaB_PLUS_27413.g2202"
"104","EfaB_MINUS_33854.g2519"
"105","EfaB_MINUS_5792.g539"
"106","EfaB_PLUS_18587.g1583"
"107","EfaB_PLUS_31498.g2312"
"108","EfaB_PLUS_12534.g1075"
"109","EfaB_PLUS_10843.g913"
"110","EfaB_PLUS_11414.g990"
"111","EfaB_MINUS_56725.g2919"
"112","EfaB_PLUS_20371.g1666"
"113","EfaB_MINUS_23210.g2030"
"114","EfaB_MINUS_1974.g222"
"115","EfaB_MINUS_21549.g1868"
"116","EfaB_PLUS_7703.g723"
"117","EfaB_PLUS_21840.g1795"
"118","EfaB_PLUS_3973.g401"
"119","EfaB_PLUS_31151.g2275"
"120","EfaB_PLUS_11414.g980"
"121","EfaB_MINUS_17907.g1638"
"122","EfaB_MINUS_7048.g684"
"123","EfaB_MINUS_7752.g814"
"124","EfaB_PLUS_20412.g1717"
"125","EfaB_PLUS_11280.g976"
"126","EfaB_PLUS_24117.g1989"
"127","EfaB_MINUS_17907.g1642"
"128","EfaB_MINUS_10843.g937"
"129","EfaB_PLUS_20412.g1728"
"130","EfaB_MINUS_17096.g1510"
"131","EfaB_PLUS_15576.g1287"
"132","EfaB_MINUS_21566.g1869"
"133","EfaB_MINUS_22450.g1955"
"134","EfaB_PLUS_21549.g1773"
"135","EfaB_PLUS_14774.g1210"
"136","EfaB_PLUS_2387.g304"
"137","EfaB_PLUS_18749.g1586"
"138","EfaB_MINUS_16835.g1487"
"139","EfaB_PLUS_4849.g446"
"140","EfaB_MINUS_22450.g1936"
"141","EfaB_MINUS_800.g81"
"142","EfaB_PLUS_11789.g1011"
"143","EfaB_MINUS_9917.g895"
"144","EfaB_MINUS_22960.g1978"
"145","EfaB_MINUS_20371.g1742"
"146","EfaB_PLUS_19717.g1625"
"147","EfaB_MINUS_4114.g412"
"148","EfaB_PLUS_45924.g2677"
"149","EfaB_PLUS_25458.g2123"
"150","EfaB_MINUS_20412.g1826"
"151","EfaB_MINUS_23143.g2000"
"152","EfaB_PLUS_24117.g1986"
"153","EfaB_PLUS_31746.g2335"
"154","EfaB_MINUS_25398.g2169"
