[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	
ETH_00000010	-1.4	2.32	2.83	
ETH_00000015	2.7	2.56	1.14	
ETH_00000020	10.6	3.71	0.3	
ETH_00000025	1.8	1.22	0.35	
ETH_00000030	-1.4	5.96	6.41	
ETH_00000040	3.8	3.4	1.49	
ETH_00000045	3.4	5.4	3.61	
ETH_00000050	1.1	3.57	3.4	
ETH_00000055	-1.4	5.25	5.72	
ETH_00000060	-1.8	0.17	1.04	
ETH_00000065	-70	1.85	7.98	
ETH_00000070	2.9	6.47	4.95	
ETH_00000075	-1.4	0	0.44	
ETH_00000080	-1	0.05	0.11	
ETH_00000085	-1.2	0.18	0.41	
ETH_00000090	-1.5	0.12	0.72	
ETH_00000095	-1.7	0.11	0.87	
ETH_00000100	-1.8	0.15	1	
ETH_00000105	-4.6	3.79	5.98	
ETH_00000110	-34.4	1.43	6.54	
ETH_00000115	14.5	4.28	0.42	
ETH_00000120	1.7	1.31	0.5	
ETH_00000125	-1.5	9.38	9.97	
ETH_00000130	-2.4	4.91	6.15	
ETH_00000135	-6	4.82	7.41	
ETH_00000140	2	1.09	0.11	
ETH_00000145	27.7	5.18	0.39	
ETH_00000150	-5.7	3.26	5.76	
ETH_00000155	-1.2	5.25	5.55	
ETH_00000160	-3.7	2.23	4.1	
ETH_00000165	-15.3	1.17	5.1	
ETH_00000170	-1.1	3.15	3.22	
ETH_00000175	2.2	6.02	4.9	
ETH_00000180	-69.8	1.23	7.35	
ETH_00000185	1.4	1.77	1.29	
ETH_00000190	3.3	7.04	5.3	
ETH_00000195	-10.2	4.42	7.77	
ETH_00000200	4.4	6.09	3.95	
ETH_00000205	-1.3	0.94	1.27	
ETH_00000210	1.5	10.43	9.83	
ETH_00000215	3.1	2.94	1.31	
ETH_00000220	-1.9	4.56	5.48	
ETH_00000225	1.4	1.27	0.81	
ETH_00000230	2.5	2.2	0.88	
ETH_00000235	-2	5.01	6.03	
ETH_00000240	-108.7	0.65	7.41	
ETH_00000245	-16.9	0.4	4.48	
ETH_00000250	2.5	1.3	0	
ETH_00000255	2.1	6.11	5.06	
ETH_00000260	1	0.27	0.27	
ETH_00000265	-1	0.81	0.82	
ETH_00000270	-3.5	2.5	4.31	
ETH_00000275	-19.3	0.39	4.66	
ETH_00000280	-19.4	0.21	4.48	
ETH_00000285	-2.5	0	1.33	
ETH_00000290	1.3	2.48	2.05	
ETH_00000295	1.5	3.04	2.43	
ETH_00000300	-4.2	5.35	7.42	
ETH_00000305	8.6	4.4	1.3	
ETH_00000310	-8.5	7.5	10.6	
ETH_00000315	-349.4	4.44	12.89	
ETH_00000320	3.5	5.93	4.12	
ETH_00000325	66.7	7.25	1.2	
ETH_00000330	-1.1	1.14	1.23	
ETH_00000335	-1.8	5.64	6.52	
ETH_00000340	-3.9	1.47	3.42	
ETH_00000345	-4.4	0.79	2.93	
ETH_00000350	1	0	0	
ETH_00000355	-1.1	0.48	0.62	
ETH_00000360	-1.1	5.2	5.28	
ETH_00000365	2.7	6.91	5.47	
ETH_00000370	1.2	6.46	6.19	
ETH_00000375	-38.5	0	5.27	
ETH_00000380	-12.6	1.25	4.91	
ETH_00000385	-25.9	0.2	4.89	
ETH_00000395	-2.2	1.08	2.2	
ETH_00000400	-1.8	0.76	1.58	
ETH_00000405	-1.4	0.1	0.62	
ETH_00000410	4.4	2.3	0.16	
ETH_00000415	-1.1	3.64	3.79	
ETH_00000420	1.4	5.35	4.87	
ETH_00000425	1.2	0.86	0.62	
ETH_00000430	-11	1.07	4.53	
ETH_00000435	-2.6	4.51	5.88	
ETH_00000440	-3.9	2.31	4.26	
ETH_00000445	-7.8	1.5	4.46	
ETH_00000450	-4.6	5.38	7.58	
ETH_00000455	6.4	3.27	0.6	
ETH_00000460	45.8	6.4	0.89	
ETH_00000465	-10	4.26	7.58	
ETH_00000470	-8.6	0.95	4.05	
ETH_00000475	58.4	7.02	1.15	
ETH_00000480	-26.4	0.58	5.3	
ETH_00000485	-3	2.39	3.97	
ETH_00000490	2.2	5.91	4.8	
ETH_00000495	2.4	4.41	3.17	
ETH_00000500	1	0.14	0.07	
ETH_00000505	1.2	0.65	0.42	
ETH_00000510	1.9	1.25	0.32	
ETH_00000515	-2	4.73	5.74	
ETH_00000520	-2.7	4.05	5.5	
ETH_00000525	-7	0.42	3.23	
ETH_00000530	-5.2	1.76	4.14	
ETH_00000535	-1.3	0	0.41	
ETH_00000540	-1.3	0	0.33	
ETH_00000545	-1.2	0.27	0.51	
ETH_00000550	-11.1	0.62	4.09	
ETH_00000555	-1.2	0	0.23	
ETH_00000560	1.6	6.71	6.04	
ETH_00000565	1	0	0	
ETH_00000570	1.3	0.68	0.29	
ETH_00000575	-69.8	1	7.12	
ETH_00000580	1	0	0	
ETH_00000585	-2.1	0	1.05	
ETH_00000590	-25.4	2.68	7.35	
ETH_00000595	2.4	6.33	5.06	
ETH_00000600	-1.1	0.13	0.25	
ETH_00000605	-10.6	0	3.41	
