[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	
ETH_00000610	1.3	2.46	2.06	
ETH_00000615	-1.3	2.02	2.43	
ETH_00000620	-26.8	1.11	5.85	
ETH_00000625	1.5	4.09	3.55	
ETH_00000630	2.2	1.15	0	
ETH_00000635	-3.7	5.51	7.4	
ETH_00000640	-1.4	4.65	5.14	
ETH_00000645	1.9	6.12	5.19	
ETH_00000650	3.8	5.98	4.04	
ETH_00000655	-1.5	3.03	3.65	
ETH_00000660	1.2	5.9	5.65	
ETH_00000665	-44.8	0.4	5.89	
ETH_00000670	4.8	3.05	0.8	
ETH_00000675	-8.5	1.89	4.98	
ETH_00000680	-26.8	0.2	4.95	
ETH_00000685	2.7	7.33	5.88	
ETH_00000700	-2	0.69	1.69	
ETH_00000705	13.9	4.04	0.24	
ETH_00000710	-6.6	3.15	5.86	
ETH_00000715	-7.4	2.88	5.78	
ETH_00000745	1	0	0	
ETH_00000750	1	0	0	
ETH_00000755	63.7	7.53	1.54	
ETH_00000760	-4	3.16	5.17	
ETH_00000765	-1.4	5.49	6.01	
ETH_00000770	3.2	3.15	1.45	
ETH_00000775	3.2	3.39	1.7	
ETH_00000780	-5.3	2.43	4.85	
ETH_00000785	2.3	2.29	1.08	
ETH_00000790	5.7	2.98	0.48	
ETH_00000795	-19.5	1.52	5.81	
ETH_00000800	1.1	4.76	4.66	
ETH_00000805	5.5	5.51	3.04	
ETH_00000810	23.3	6.91	2.36	
ETH_00000815	1.3	0.38	0.04	
ETH_00000820	2	1.23	0.2	
ETH_00000825	1.5	7.26	6.65	
ETH_00000830	-1.9	4.45	5.41	
ETH_00000835	-3.2	0.92	2.61	
ETH_00000840	-1	0.19	0.24	
ETH_00000845	1.9	0.98	0.07	
ETH_00000850	19.1	7.1	2.84	
ETH_00000855	74.5	6.42	0.2	
ETH_00000860	-1.8	0.05	0.86	
ETH_00000865	-1.7	3.28	4.06	
ETH_00000870	2.6	1.66	0.26	
ETH_00000875	4	10.07	8.08	
ETH_00000880	-8.1	1.06	4.08	
ETH_00000885	1.4	0.47	0	
ETH_00000890	-1.4	2.8	3.3	
ETH_00000895	-22.9	0	4.52	
ETH_00000900	-37.3	1.17	6.39	
ETH_00000905	-53.3	2.8	8.54	
ETH_00000910	-73.3	1.05	7.25	
ETH_00000915	2.4	5.63	4.35	
ETH_00000920	-26.1	0.91	5.62	
ETH_00000925	4	7.41	5.4	
ETH_00000930	5	2.77	0.43	
ETH_00000935	9.3	7.38	4.17	
ETH_00000940	-3	0.5	2.11	
ETH_00000945	5	3.05	0.74	
ETH_00000950	1.2	5.63	5.33	
ETH_00000955	-3.4	3.28	5.03	
ETH_00000960	1.4	7.97	7.51	
ETH_00000965	1.4	6.27	5.75	
ETH_00000970	-1.1	0.56	0.68	
ETH_00000975	-2.4	4.75	6.04	
ETH_00000980	-1.2	0.8	1.05	
ETH_00000985	-4.2	2.34	4.4	
ETH_00000990	3.2	3.04	1.36	
ETH_00000995	-2.7	0.19	1.6	
ETH_00001000	1	0	0	
ETH_00001005	1	0	0	
ETH_00001010	-2.9	3.98	5.52	
ETH_00001015	7.4	7.12	4.23	
ETH_00001020	-1	0	0.06	
ETH_00001025	16.1	4.61	0.6	
ETH_00001030	-6.1	3.6	6.2	
ETH_00001035	-63.5	0.35	6.34	
ETH_00001040	3.2	2.92	1.24	
ETH_00001045	2.8	2.09	0.59	
ETH_00001050	-24.4	1.24	5.85	
ETH_00001055	2.8	4.59	3.12	
ETH_00001060	2.2	1.53	0.39	
ETH_00001065	1	4.68	4.66	
ETH_00001070	-1.6	3.95	4.61	
ETH_00001075	-5.3	1.62	4.01	
ETH_00001080	19.8	6.48	2.17	
ETH_00001085	-1.1	0.12	0.27	
ETH_00001090	20.2	4.36	0.03	
ETH_00001105	-3.7	0	1.89	
ETH_00001110	1	0	0	
ETH_00001115	1	0	0	
ETH_00001120	4.1	2.45	0.42	
ETH_00001125	1.3	4.35	3.92	
ETH_00001130	-1	3.92	3.93	
ETH_00001135	3.7	2.26	0.38	
ETH_00001140	1.2	4.16	3.88	
ETH_00001145	4	8.12	6.11	
ETH_00001150	1.5	5.35	4.79	
ETH_00001155	26.3	4.72	0	
ETH_00001160	-5.7	3.41	5.92	
ETH_00001165	-1.5	0.48	1.06	
ETH_00001170	-2.5	1.69	2.99	
ETH_00001175	20.3	11.07	6.73	
ETH_00001180	-1.4	4.37	4.85	
ETH_00001185	-4	3.68	5.68	
ETH_00001190	-14	1.25	5.06	
ETH_00001195	-1.4	0	0.46	
ETH_00001200	-1.6	0.43	1.07	
ETH_00001205	-1.3	0.32	0.65	
ETH_00001210	-25.9	1.96	6.66	
ETH_00001215	-19.2	0.87	5.13	
ETH_00001220	-2	5.16	6.19	
ETH_00001225	-2.3	1.2	2.41	
ETH_00001230	-7.3	1.89	4.77	
ETH_00001235	-26	2.82	7.52	
ETH_00001240	2.4	7.73	6.45	
ETH_00001245	1.1	0.22	0.12	
ETH_00001250	1.4	0.54	0.07	
ETH_00001255	4.4	3.36	1.22	
ETH_00001260	-17.9	0.32	4.48	
ETH_00001265	1.3	0.62	0.24	
ETH_00001270	1.6	4.04	3.38	
ETH_00001275	1.4	2.19	1.67	
ETH_00001280	-1.1	6.84	7.02	
ETH_00001285	7.5	3.33	0.42	
ETH_00001290	2.7	2.41	1.01	
ETH_00001295	1.6	3.68	2.99	
ETH_00001300	-3.6	0.12	1.99	
ETH_00001305	3	1.72	0.16	
ETH_00001310	9	3.44	0.27	
ETH_00001315	-97	0.53	7.13	
ETH_00001320	23.4	7.01	2.46	
ETH_00001325	20.4	8.32	3.97	
ETH_00001330	-3.2	6.69	8.36	
ETH_00001335	1.2	7.43	7.21	
ETH_00001340	2.4	5.83	4.59	
ETH_00001345	1.1	0.55	0.44	
ETH_00001360	-1.3	0.27	0.6	
ETH_00001365	1.2	0.57	0.32	
ETH_00001370	33.9	5.61	0.52	
ETH_00001375	1.8	1	0.14	
ETH_00001380	7	6.01	3.19	
ETH_00001385	1.1	2.61	2.43	
ETH_00001390	-1.5	4.58	5.18	
ETH_00001395	612.5	12.48	3.22	
ETH_00001400	2.1	1.1	0.05	
ETH_00001405	3.4	3.46	1.7	
ETH_00001410	6.3	4.32	1.66	
ETH_00001415	31.7	6.24	1.25	
ETH_00001420	1.2	0.36	0.13	
ETH_00001425	-46.4	1.4	6.94	
ETH_00001430	1.6	5.81	5.12	
ETH_00001435	2.2	5.37	4.21	
ETH_00001440	2.3	4.18	2.99	
ETH_00001445	-2	1.69	2.66	
ETH_00001450	1.4	3.58	3.06	
ETH_00001455	1	0	0	
ETH_00001460	1	0	0	
ETH_00001465	35.8	5.33	0.17	
ETH_00001470	2	1.11	0.1	
ETH_00001475	-1.3	0	0.35	
ETH_00001480	-1.2	0.09	0.31	
ETH_00001485	-1.5	0.67	1.28	
ETH_00001490	-12.1	2.34	5.94	
ETH_00001495	1.6	5.64	4.95	
ETH_00001500	21	5.63	1.24	
ETH_00001505	-1.4	0.76	1.25	
ETH_00001510	2.3	3.75	2.54	
ETH_00001515	-4.4	5.59	7.74	
ETH_00001520	1.4	0.56	0.06	
ETH_00001525	11.7	9.1	5.55	
ETH_00001530	11	6.06	2.61	
ETH_00001535	1.6	1.71	1.07	
ETH_00001540	-3.6	4.1	5.96	
ETH_00001545	2.3	5.34	4.13	
ETH_00001550	-1.5	0	0.6	
ETH_00001555	3.6	5.02	3.2	
ETH_00001560	2.1	6.02	4.98	
ETH_00001565	8	3.6	0.61	
ETH_00001570	-7.5	1.18	4.09	
ETH_00001575	-5.1	1.81	4.16	
ETH_00001580	-2.2	0.19	1.31	
ETH_00001585	-1.9	0.91	1.87	
ETH_00001590	-6.9	0.89	3.68	
ETH_00001595	-9	0.85	4.01	
ETH_00001600	-6.5	3.25	5.94	
ETH_00001605	1.1	5.21	5.11	
ETH_00001610	4	4.27	2.27	
ETH_00001615	-1.5	6.84	7.39	
ETH_00001620	-1.1	5.13	5.25	
ETH_00001625	3.7	3.34	1.45	
ETH_00001630	-1.6	1.09	1.76	
ETH_00001635	20.1	5.57	1.24	
ETH_00001640	-2.1	3.74	4.83	
ETH_00001645	-1.1	2.1	2.29	
ETH_00001650	-24.1	4	8.59	
ETH_00001655	59.5	6.04	0.14	
ETH_00001660	-1.4	0	0.49	
ETH_00001665	-1.5	0.55	1.16	
ETH_00001670	-3.2	0.14	1.83	
ETH_00001675	-1	3.66	3.72	
ETH_00001680	11.6	4.65	1.11	
ETH_00001685	-1	0	0.03	
ETH_00001690	-1.2	0.26	0.58	
ETH_00001695	-163	0.75	8.1	
ETH_00001700	-2	0	0.97	
ETH_00001705	-2.7	0	1.43	
ETH_00001710	-22.6	0.12	4.62	
ETH_00001715	9.6	6.11	2.85	
ETH_00001720	-1.1	6.01	6.11	
ETH_00001725	-98.4	4.29	10.91	
ETH_00001730	-166.4	3.48	10.86	
ETH_00001735	-34.2	0.09	5.18	
ETH_00001740	-5	0.69	3.03	
ETH_00001745	-1.4	0.84	1.33	
ETH_00001750	-2.9	0.1	1.62	
ETH_00001755	-1	1.02	1.07	
ETH_00001760	14.8	4.72	0.83	
ETH_00001765	-3.5	5.7	7.49	
ETH_00001770	-31.7	0.49	5.47	
ETH_00001775	2.4	5.37	4.12	
ETH_00001780	1.5	5.59	5.04	
ETH_00001785	2.3	5.39	4.21	
ETH_00001790	1.2	0.42	0.12	
ETH_00001795	-3.5	4.53	6.32	
ETH_00001800	-114.1	1.72	8.55	
ETH_00001805	154.3	8.34	1.07	
ETH_00001810	12.1	4.54	0.94	
ETH_00001815	-2.9	0	1.53	
ETH_00001820	-3.7	0.33	2.21	
ETH_00001825	-10.3	4.46	7.82	
ETH_00001830	1.1	0.19	0	
ETH_00001835	1	0	0	
ETH_00001840	1.1	0.18	0.1	
ETH_00001845	5.9	3.37	0.82	
ETH_00001850	-2.6	1.7	3.07	
ETH_00001855	-1.5	5.95	6.58	
ETH_00001860	-2.6	0.34	1.7	
ETH_00001865	1.4	0.66	0.22	
ETH_00001870	88.2	6.94	0.48	
ETH_00001875	1.3	0.34	0	
ETH_00001880	1.6	2.08	1.44	
ETH_00001885	-1.1	0.16	0.31	
ETH_00001890	-3.5	4.75	6.54	
ETH_00001895	-2.5	0	1.34	
ETH_00001900	-2.5	1.27	2.57	
ETH_00001905	-2.8	2.89	4.37	
ETH_00001910	1.2	3.78	3.5	
ETH_00001915	-1.1	1.67	1.81	
ETH_00001920	-12.2	11.07	14.69	
ETH_00001925	1.1	0.79	0.6	
ETH_00001930	-7.4	3.28	6.18	
ETH_00001935	1.2	5.11	4.8	
ETH_00001940	6.8	3.73	0.97	
ETH_00001945	11.5	4.82	1.29	
ETH_00001950	-192.5	0.46	8.05	
ETH_00001955	-1.8	0.31	1.18	
ETH_00001960	4.1	2.31	0.26	
ETH_00001965	-2.6	6.37	7.77	
ETH_00001970	-1.7	0.2	1.01	
ETH_00001975	-1	0	0.06	
ETH_00001980	-145.5	0.06	7.24	
ETH_00001985	4.4	4.55	2.4	
ETH_00001990	22.7	5.26	0.75	
ETH_00001995	7.2	3.06	0.21	
ETH_00002000	2.4	7.16	5.89	
ETH_00002005	-1.1	0.32	0.48	
ETH_00002010	-16.5	1	5.05	
ETH_00002015	-2.6	6.62	7.98	
ETH_00002020	140.6	7.3	0.16	
ETH_00002025	8.9	8.04	4.88	
ETH_00002030	1.5	5.2	4.62	
ETH_00002035	-8.2	1.88	4.91	
ETH_00002040	11.2	4.88	1.39	
ETH_00002045	-1.1	0.17	0.3	
ETH_00002050	-65.5	0.14	6.18	
ETH_00002055	-8.5	3.29	6.38	
ETH_00002060	-41.2	3.18	8.55	
ETH_00002065	4	3.37	1.37	
ETH_00002070	7	6.74	3.92	
ETH_00002075	-1.3	2.1	2.46	
ETH_00002080	-3.3	1.88	3.6	
ETH_00002085	-1	0.12	0.12	
ETH_00002090	-82.3	3.49	9.86	
ETH_00002095	3.1	7.13	5.49	
ETH_00002100	-1.3	5.68	6.04	
ETH_00002105	-35.2	0.18	5.31	
ETH_00002110	-64.9	0.5	6.52	
ETH_00002115	-1.5	3.75	4.31	
ETH_00002120	-18.2	4.15	8.34	
ETH_00002125	-1.5	0.52	1.08	
ETH_00002130	36.9	8.22	3.02	
ETH_00002135	71.3	6.55	0.4	
ETH_00002140	2.6	5.27	3.92	
ETH_00002145	-2.5	0.45	1.8	
ETH_00002150	2.7	1.6	0.16	
ETH_00002155	-2.5	6.35	7.66	
ETH_00002160	36.9	9.18	3.98	
ETH_00002165	1.1	0.14	0	
ETH_00002170	-1.3	0.08	0.51	
ETH_00002175	-26.1	0.49	5.2	
ETH_00002180	-6.8	4	6.76	
ETH_00002185	2.9	4.58	3.07	
ETH_00002190	2.2	5.56	4.43	
ETH_00002195	-4.7	0	2.24	
ETH_00002200	78.3	10.12	3.83	
ETH_00002205	3.6	9.19	7.33	
ETH_00002210	3.2	3.92	2.22	
ETH_00002215	-15.6	1.43	5.39	
ETH_00002220	-8.6	0.35	3.46	
ETH_00002225	-9.2	0.14	3.35	
ETH_00002230	3.6	8.63	6.79	
ETH_00002235	-12.8	1.65	5.33	
ETH_00002240	-11.9	1.71	5.28	
ETH_00002245	-10.7	2.52	5.93	
ETH_00002250	5	5.89	3.57	
ETH_00002255	1.9	8.27	7.31	
ETH_00002260	-1	5.77	5.82	
ETH_00002265	27.6	4.88	0.09	
ETH_00002270	36.3	6.3	1.11	
ETH_00002275	3.2	4.42	2.76	
ETH_00002280	3.3	2.12	0.39	
ETH_00002285	4.7	2.68	0.45	
ETH_00002290	-4.9	1.63	3.94	
ETH_00002295	-1.2	3.89	4.18	
ETH_00002300	-2.6	0.7	2.06	
ETH_00002305	-18.7	1.79	6.01	
ETH_00002310	52.1	6.54	0.84	
ETH_00002315	-3	2.38	3.95	
ETH_00002320	1.2	0.41	0.11	
ETH_00002325	81.2	7.96	1.62	
ETH_00002330	-1.4	1.96	2.43	
ETH_00002335	1.5	1.06	0.5	
ETH_00002340	1.8	4.84	3.96	
ETH_00002345	-1.3	0	0.4	
ETH_00002350	1	0	0	
ETH_00002355	-21.1	1.34	5.74	
ETH_00002360	-1.1	5.51	5.6	
ETH_00002365	-1.7	2.61	3.4	
ETH_00002370	1.3	2.18	1.81	
ETH_00002375	2.1	4.99	3.94	
ETH_00002380	1	0	0	
ETH_00002385	3.2	2.08	0.42	
ETH_00002390	-8	0	3.01	
ETH_00002395	63.4	5.99	0	
ETH_00002400	85.1	6.41	0	
ETH_00002405	-1	0.05	0.08	
ETH_00002410	-1.1	0.16	0.32	
ETH_00002415	-1.5	3.28	3.85	
ETH_00002420	-17.9	0.28	4.45	
ETH_00002425	-5.5	0.98	3.45	
ETH_00002430	-1.4	0.27	0.71	
ETH_00002435	-1.1	0.38	0.46	
ETH_00002440	-1.6	3.94	4.64	
ETH_00002445	1.4	3.04	2.57	
ETH_00002450	-8.3	1.24	4.29	
ETH_00002455	1.4	4.05	3.55	
ETH_00002460	-4.2	2.22	4.3	
ETH_00002465	-1.3	0.45	0.86	
ETH_00002470	-20.2	2.49	6.83	
ETH_00002475	2	6.8	5.82	
ETH_00002480	287.6	10.1	1.93	
ETH_00002485	2.4	2.61	1.35	
ETH_00002490	-1.1	3.24	3.42	
ETH_00002495	-1.2	0.13	0.43	
ETH_00002500	1	0.48	0.45	
ETH_00002505	-1.1	3.9	4.02	
ETH_00002510	193.2	12.55	4.96	
ETH_00002515	-12.5	1.56	5.21	
ETH_00002520	-37.7	5.09	10.33	
ETH_00002525	244.7	8.08	0.15	
ETH_00002530	133.6	7.67	0.61	
ETH_00002535	-2.3	1.04	2.28	
ETH_00002540	-30	0.99	5.9	
ETH_00002545	-13.1	0.42	4.13	
ETH_00002550	1	4.01	4	
ETH_00002555	-1.2	1.14	1.36	
ETH_00002560	1.3	4.99	4.57	
ETH_00002565	-25.6	1.21	5.89	
ETH_00002570	-8.8	4.49	7.62	
ETH_00002575	2.5	7.3	5.96	
ETH_00002580	-10.8	0.35	3.77	
ETH_00002585	-1.9	1.17	2.1	
ETH_00002590	3.1	4.7	3.07	
ETH_00002595	-11.3	0.43	3.92	
ETH_00002600	-1	4.79	4.83	
ETH_00002605	-1.5	6	6.54	
ETH_00002610	-1.1	0	0.13	
ETH_00002615	3.8	4.61	2.67	
ETH_00002620	7.4	3.91	1.02	
ETH_00002625	1.3	9.06	8.69	
ETH_00002630	-4.7	1.46	3.68	
ETH_00002635	10.6	5.71	2.3	
ETH_00002650	23.3	5.76	1.22	
ETH_00002655	35.6	6.67	1.51	
ETH_00002660	-488.4	0.26	9.19	
ETH_00002665	5.3	2.61	0.21	
ETH_00002670	4	4.03	2.03	
ETH_00002675	4.2	6.79	4.71	
ETH_00002680	-1.7	0.97	1.75	
ETH_00002685	3.3	2.29	0.58	
ETH_00002690	-15.7	0.68	4.65	
ETH_00002695	2	7.06	6.09	
ETH_00002700	13.8	6.69	2.9	
ETH_00002705	13.3	3.78	0.04	
ETH_00002710	-1.9	1.85	2.78	
ETH_00002715	-1.8	5.95	6.81	
ETH_00002720	1.1	2.21	2.13	
ETH_00002725	-2.6	3.12	4.52	
ETH_00002730	1.7	2.04	1.25	
ETH_00002735	-154.7	0.21	7.49	
ETH_00002740	31.9	5.63	0.63	
ETH_00002745	14.3	4.2	0.36	
ETH_00002750	1.6	3.79	3.14	
ETH_00002755	-2.2	3.6	4.72	
ETH_00002760	1.4	1.25	0.77	
ETH_00002765	-5.1	4.91	7.27	
ETH_00002770	-3.5	0.27	2.05	
ETH_00002775	-2.8	1.87	3.35	
ETH_00002780	-60.7	3.84	9.77	
ETH_00002785	-5.9	0.11	2.66	
ETH_00002790	2.5	6.51	5.2	
ETH_00002795	-1	6.98	7.02	
ETH_00002800	1.2	4.72	4.43	
ETH_00002805	-6.5	6.5	9.21	
ETH_00002810	8.2	6.65	3.62	
ETH_00002815	16.1	8.06	4.05	
ETH_00002820	3.8	6.25	4.32	
ETH_00002825	-4.4	4.58	6.72	
ETH_00002830	67.4	6.35	0.28	
ETH_00002835	-1.9	1.89	2.8	
ETH_00002840	-1.2	1.67	1.89	
ETH_00002845	17.2	4.28	0.18	
ETH_00002850	24.8	4.9	0.27	
ETH_00002855	-4.2	2.83	4.9	
ETH_00002860	-1.4	3.94	4.44	
ETH_00002865	1.6	0.93	0.27	
ETH_00002870	1	0.19	0.15	
ETH_00002875	-1	6.46	6.51	
ETH_00002880	-5.8	2.02	4.54	
ETH_00002885	2.7	2.68	1.25	
ETH_00002890	107	10.06	3.32	
ETH_00002895	1.3	0.33	0	
ETH_00002900	1	0	0	
ETH_00002905	4.4	4.72	2.57	
ETH_00002910	-2.9	0.51	2.05	
ETH_00002915	2.2	1.66	0.54	
ETH_00002920	-8.2	0.94	3.97	
ETH_00002925	-1.2	2.77	2.99	
ETH_00002930	3.8	4.45	2.51	
ETH_00002935	-11.7	1.49	5.03	
ETH_00002940	-22.4	0.51	5	
ETH_00002945	2	6.12	5.13	
ETH_00002950	-187.1	1.52	9.07	
ETH_00002955	-7.3	1.41	4.27	
ETH_00002960	-2	2.95	3.94	
ETH_00002965	-4.2	0.53	2.6	
ETH_00002970	1.3	0.47	0.09	
ETH_00002975	6.9	4.42	1.64	
ETH_00002980	5.5	4.98	2.52	
ETH_00002985	-1	0.85	0.86	
ETH_00002990	1.2	6.67	6.45	
ETH_00002995	1	0	0	
ETH_00003000	1	0	0	
ETH_00003005	2.2	1.68	0.57	
ETH_00003010	2.1	2.54	1.46	
ETH_00003015	1.3	0.86	0.5	
ETH_00003020	1.7	3.88	3.1	
ETH_00003025	-5.6	1.09	3.57	
ETH_00003030	-3.3	2.27	3.99	
ETH_00003035	1.2	2.46	2.2	
ETH_00003040	-5	3.84	6.17	
ETH_00003045	1	0.49	0.48	
ETH_00003050	107.8	10.13	3.37	
ETH_00003055	-2.2	0.98	2.12	
ETH_00003060	-1.1	3.5	3.6	
ETH_00003065	1.2	5.55	5.26	
ETH_00003070	1.9	3.29	2.38	
ETH_00003075	-77.5	0.84	7.11	
ETH_00003080	-2.6	0.38	1.77	
ETH_00003085	-1.4	2.24	2.74	
ETH_00003090	23.6	4.82	0.26	
ETH_00003095	-9.9	1.9	5.21	
ETH_00003100	-15.9	3.42	7.41	
ETH_00003105	-6.5	2.98	5.68	
ETH_00003110	-1.1	0.52	0.68	
ETH_00003115	19.4	5.58	1.31	
ETH_00003120	6.8	5.54	2.79	
ETH_00003125	-1.5	2.79	3.36	
ETH_00003130	50.5	6.03	0.37	
ETH_00003135	8.8	4.58	1.44	
ETH_00003140	1.7	0.75	0	
ETH_00003145	16.3	5.63	1.6	
ETH_00003150	17.2	6.31	2.2	
ETH_00003155	-10.6	3.39	6.79	
ETH_00003160	1.4	2.58	2.12	
ETH_00003165	-5.7	0.31	2.82	
ETH_00003170	-4.9	0.71	3	
ETH_00003175	-15.2	0.34	4.26	
ETH_00003180	-31.7	0.92	5.9	
ETH_00003185	1.9	6.07	5.17	
ETH_00003190	-1.2	5.45	5.66	
ETH_00003195	-1.5	0.73	1.36	
ETH_00003200	-4.1	0.67	2.7	
ETH_00003205	1.3	3.14	2.74	
ETH_00003210	-2	0.16	1.15	
ETH_00003215	-1.2	2.12	2.41	
ETH_00003220	-6.5	2.43	5.13	
ETH_00003225	2.5	8.24	6.93	
ETH_00003230	-858.6	1.91	11.65	
ETH_00003235	-1.7	2.13	2.87	
ETH_00003240	-4.5	1.67	3.85	
ETH_00003245	-1.5	3.3	3.88	
ETH_00003250	25.2	6.45	1.79	
ETH_00003255	-8	2.37	5.37	
ETH_00003260	5.1	7.06	4.7	
ETH_00003265	-21.8	0.32	4.76	
ETH_00003270	-62.8	0.53	6.5	
ETH_00003275	-1.2	0	0.31	
ETH_00003280	-10.3	0.11	3.47	
ETH_00003285	1	0	0	
ETH_00003290	1.5	0.92	0.33	
ETH_00003295	1.1	0.33	0.2	
ETH_00003300	-2.9	0.85	2.38	
ETH_00003305	-2.3	0.91	2.13	
ETH_00003310	-3.1	3.45	5.06	
ETH_00003315	5	4.23	1.91	
ETH_00003320	3.2	5.31	3.62	
ETH_00003325	1.5	3.71	3.16	
ETH_00003330	-12	0.6	4.19	
ETH_00003335	-15	0.73	4.64	
ETH_00003340	1.5	3.82	3.2	
ETH_00003345	1.3	0.73	0.32	
ETH_00003350	1.1	0.68	0.53	
ETH_00003355	51.4	6.35	0.67	
ETH_00003360	-69.7	0.32	6.45	
ETH_00003365	-8.5	4.04	7.12	
ETH_00003370	-1.1	0.19	0.33	
ETH_00003375	1.2	1.09	0.88	
ETH_00003380	1.1	4.61	4.47	
ETH_00003385	-1.7	5.38	6.16	
ETH_00003390	-1.4	4.47	4.96	
