,DESeq normalised counts,,,DE of gametocytes over merozoites,,,,DE of gametocytes over sporozoites,,,
gene ID,gametocyte,merozoite,sporozoite,fold change,log2 fold change,p-value,adjusted p-value,fold change,log2 fold change,p-value,adjusted p-value
ETH_00042885,211.7975844377,3.8906322531,88.5452301598,54.4378318636,5.7665377036,1.24732813742774E-008,1.35645076589878E-007,2.3919705675,1.2581996377,0.1264947162,0.1798931222
ETH_00024610,2569.4322264359,47.4336942235,10.6587412594,54.1689250331,5.7593935561,2.38704908828644E-005,0.000134358,241.0633829921,7.9132687151,8.32E-10,6.39E-09
ETH_00023960,442.6736986294,8.3256336622,33.7941355998,53.16997079,5.7325397687,2.09977030899664E-010,2.94290388621895E-009,13.0991277265,3.7113988405,2.79E-07,1.48E-06
ETH_00034275,28.9403936336,0.544369156,93.0808286662,53.1631767036,5.7323554086,0.0439625226,0.0830807903,0.3109168026,-1.6853995098,0.3157980136,0.3942095673
ETH_00029195,235.2374611014,4.4350014091,329.2526116889,53.0411243201,5.7290394517,2.56248873265828E-005,0.0001427025,0.7144589071,-0.4850770594,0.7124569226,0.7747884988
ETH_00017855,187.7594399998,3.5480011273,87.4206275076,52.9197802545,5.7257351658,0.00000003,3.03302142706532E-007,2.1477704445,1.1028398051,0.1720964353,0.2342004676
ETH_00021935,1688.6833141325,32.0344967887,104.5525247633,52.7145260084,5.7201286604,3.57432629542052E-013,7.69154554703226E-012,16.1515307063,4.0135989928,4.47E-11,4.10E-10
ETH_00041500,672.3683081955,12.7606350714,81.2589888126,52.6908186336,5.7194796893,1.48659954762279E-011,2.47513399133401E-010,8.2743868466,3.0486524085,5.40E-07,2.69E-06
ETH_00000970,28.5143140776,0.544369156,38.2032680074,52.3804733648,5.7109571923,0.0827767224,0.1399397472,0.7463841594,-0.4220097269,0.541439309,0.6203357187
ETH_00033455,206.7684583886,3.9706804141,112.7954125552,52.0738102357,5.7024860673,1.3741737588336E-005,8.29779045373774E-005,1.8331282603,0.8743077319,0.440768542,0.5223078712
ETH_00037915,88.6030530089,1.713155629,0.7006520464,51.7192084058,5.6926282889,0.0001080323,0.0005102239,126.4579950371,6.982514441,2.41E-07,1.29E-06
ETH_00004180,7018.1186430761,136.1017864648,169.1460490555,51.5652205997,5.6883264283,5.46150649639657E-009,6.28383168639626E-008,41.4914725012,5.3747429532,4.24E-11,3.90E-10
ETH_00022035,2458.5525024461,47.7763253493,756.1967399714,51.4596399884,5.6853694589,1.25676599490984E-013,2.92518697386668E-012,3.2512074867,1.7009756294,0.0016015837,0.0039444083
ETH_00001220,331.9647426875,6.4715849376,4340.9625923285,51.2957406704,5.6807671319,1.6405109042682E-013,3.74200537263577E-012,0.0764726108,-3.7089130613,4.04E-09,2.82E-08
ETH_00032525,548.8165971772,10.7048483165,30.4309862653,51.2680405129,5.6799878532,6.05471797721256E-011,9.1614008000145E-010,18.034794942,4.1727111145,1.31E-09,9.80E-09
ETH_00010160,1479.4611091649,28.8675332398,87.0242043747,51.2500010608,5.6794801294,8.43978754746995E-013,1.72656102204296E-011,17.0005703562,4.0875112434,9.11E-11,8.11E-10
ETH_00029875,989.8422385935,19.3731131046,1403.6205386974,51.0936075813,5.675070899,2.212232168247E-013,4.91104776230794E-012,0.7052064367,-0.5038824521,0.3704472873,0.4519575322
ETH_00021775,97.7168718055,1.9148936592,6.0269214013,51.0299208178,5.673271498,0.000021377,0.0001217503,16.2133974045,4.0191145241,7.14E-05,0.0002377943
ETH_00040325,52.015590772,1.0278933774,10.4205298953,50.6040722851,5.6611815832,0.0006389382,0.0023862759,4.9916454628,2.3195154688,0.0329494787,0.0561520419
ETH_00006695,6020.4843502862,119.4056421764,3794.8314382637,50.4204344163,5.6559366432,6.17936240236734E-014,1.48369743576841E-012,1.5864958558,0.6658437527,0.2197217307,0.2889249287
ETH_00034660,741.0227521518,14.7972185999,190.0250493864,50.0785162529,5.646119913,6.65972226649434E-012,1.15960507556287E-010,3.8996056285,1.96332823,0.001071459,0.0027491777
ETH_00009540,2397.3915285734,48.1189564751,131.0751241802,49.8221845233,5.6387163748,5.90790038141864E-013,1.22508370636508E-011,18.2902098592,4.1929997233,8.46E-11,7.56E-10
ETH_00015665,674.8931727694,13.7276835141,183.5427436809,49.1629321199,5.6194990567,2.09493745504162E-011,3.41573991310535E-010,3.6770354373,1.8785430805,0.0003181297,0.0009230498
ETH_00041185,671.7015860277,13.7084802878,324.9844188455,48.9989825221,5.6146798865,4.01282217503342E-012,7.26448204861209E-011,2.0668732009,1.0474498846,0.0504037614,0.0813995865
ETH_00001265,898.8079971068,18.3452197272,620.0435149523,48.994125471,5.6145368714,3.74882919948834E-009,4.43635766746195E-008,1.449588578,0.5356434928,0.5952296748,0.6709659208
ETH_00023980,383.5437295676,7.8421094408,4.3214234742,48.9082347627,5.6120054895,8.19922298842599E-010,1.05663432975139E-008,88.7540255792,6.4717406516,1.20E-15,2.03E-14
ETH_00037365,1045.6086330194,21.3872581511,91.2143315376,48.8893258609,5.6114476069,0.000025915,0.0001441758,11.4632055664,3.5189386301,0.0005755628,0.0015756591
ETH_00022685,4914.1884065228,100.5831604315,871.6458175181,48.8569695508,5.6104924753,4.48046698305845E-013,9.50692575661053E-012,5.6378270942,2.4951392327,7.01E-07,3.43E-06
ETH_00033015,1135.3836236039,23.2637453577,1292.7604674669,48.804850902,5.6089526448,2.45223741000087E-008,2.51113514352951E-007,0.8782629514,-0.1872751484,0.8566997687,0.8970473115
ETH_00020275,1702.7585738774,34.9964870516,165.8322161362,48.6551284809,5.6045199748,8.31120882093812E-013,1.70407796139864E-011,10.2679600716,3.3600776858,7.65E-08,4.39E-07
ETH_00013455,803.0802531752,16.5103742289,57.6960592191,48.6409479302,5.6040994396,1.23912035599744E-011,2.08208731641264E-010,13.9191526084,3.7989994781,8.16E-09,5.47E-08
ETH_00002520,96727.4459898187,1990.1824340385,1726.2132961656,48.6023011436,5.6029527167,3.37018305397322E-014,8.42453429711004E-013,56.0344693235,5.8082426618,6.29E-21,1.97E-19
ETH_00029075,83.075913382,1.713155629,12.3564596901,48.4929167991,5.5997021279,6.52922475250965E-005,0.0003289489,6.723277983,2.749164801,0.0046779979,0.010180675
ETH_00038055,830.4236231845,17.1539947722,320.9771791986,48.4099263299,5.5972309936,4.95866177305146E-012,8.88857171263684E-011,2.5871734098,1.3713767564,0.0111882202,0.0219687239
ETH_00016970,2589.6985209483,53.9501561251,32.269012524,48.0016872415,5.5850132118,1.34463495891645E-013,3.09190204997565E-012,80.253417083,6.3264909165,1.92E-20,5.74E-19
ETH_00009635,424.244139358,8.8700028183,50.8475886724,47.8290873239,5.5798163569,3.96925292988202E-010,5.34151382481469E-009,8.3434465711,3.0606434657,1.56E-06,7.20E-06
ETH_00003370,1262.271893885,26.6100084548,112.4435983453,47.4359824436,5.5679099219,2.59806114973085E-012,4.83769590411108E-011,11.2258226565,3.488749268,2.87E-08,1.77E-07
ETH_00023535,238.4648380349,5.0402154998,2.1318285599,47.3124290112,5.5641473253,2.2383719949663E-008,2.31934681781193E-007,111.8592941849,6.8055413221,6.98E-14,9.07E-13
ETH_00027800,48.523823779,1.0278933774,946.1639257557,47.2070594532,5.5609307146,6.34515107514723E-008,6.07483299156803E-007,0.0512847959,-4.285325009,1.27E-10,1.10E-09
ETH_00002125,1091.1633083359,23.1612587148,233.5138354274,47.1115720339,5.558009568,5.19977105608951E-012,9.24809183543093E-011,4.6727993925,2.2242871023,0.0003943597,0.00111837
ETH_00006320,3258.5537905871,69.2244284351,15313.3668981343,47.072310516,5.5568067635,3.78000148551922E-013,8.09594684363318E-012,0.2127914659,-2.2324878026,0.0002988438,0.0008731767
ETH_00013215,668.9882425223,14.2720526702,122.6495867475,46.8740031993,5.550716106,3.67461557728863E-011,5.72136391248831E-010,5.4544679706,2.4474384828,8.88E-05,0.0002899252
ETH_00035535,1927.4826440514,41.3655853463,141.6262389994,46.5962859685,5.542143062,1.5481845438215E-007,1.38758701157439E-006,13.6096436484,3.7665573871,1.05E-05,4.13E-05
ETH_00019950,1420.8166310464,30.6031273508,11063.098635027,46.4271711436,5.5368974735,8.71225978777401E-014,2.05402217838889E-012,0.1284284519,-2.9609632438,4.58E-07,2.33E-06
ETH_00023345,3372.0328458472,72.7372583654,17071.7242576472,46.3590864108,5.5347802306,1.04828444515416E-008,1.15096838478779E-007,0.1975215154,-2.3399182848,0.0036493964,0.0081712225
ETH_00042780,331.2907728127,7.1760504156,171.4693028253,46.1661713098,5.5287641855,0.0003230885,0.0013292466,1.9320704485,0.9501476997,0.5196475112,0.5994171015
ETH_00009670,496.0427828735,10.7848964775,54.8383317949,45.9942090226,5.5233803226,1.93758772144418E-010,2.72817135346554E-009,9.0455483717,3.1772079665,2.35E-06,1.05E-05
ETH_00027125,320.4791238619,6.9743123853,165.4206198815,45.9513578049,5.5220355869,0.0007512861,0.0027495924,1.9373589828,0.9540913028,0.6595357676,0.7284876097
ETH_00031250,1263.3582842865,27.4970087366,209.4929876412,45.9452988646,5.521845347,4.11924681334699E-012,7.4276695503909E-011,6.0305516596,2.5922899822,2.48E-05,9.14E-05
ETH_00006635,995.3428516217,21.6914828243,3.3763925932,45.8863444093,5.5199929722,1.18699044129081E-011,2.00557421969211E-010,294.7947622056,8.2035670812,7.19E-25,3.66E-23
ETH_00023975,597.2767985929,13.0232180362,11.9095078423,45.8624586436,5.5192417934,8.20347533980919E-011,1.21310387358864E-009,50.1512578437,5.6482139804,7.35E-14,9.52E-13
ETH_00015730,9769.4138805236,213.2419019904,243.7076799536,45.8137626298,5.5177091494,0.0278583699,0.0568634825,40.0866065541,5.3250483893,0.0096744095,0.0193277189
ETH_00020805,893.8519185359,19.5524126528,12.4033628129,45.7156840134,5.514617301,1.64528282933848E-005,9.66616905015087E-005,72.065288424,6.171232621,1.55E-08,1.00E-07
ETH_00017475,622.8642459165,13.6284321269,40.0546076832,45.7032944155,5.5142262572,7.68088514228728E-011,1.14510451042858E-009,15.5503768965,3.9588776425,2.93E-08,1.80E-07
ETH_00042535,89.9204907773,1.9757385939,573.0632555871,45.5123420964,5.5081859252,5.34411265053361E-009,6.16430895366228E-008,0.1569119812,-2.6719725798,1.39E-05,5.34E-05
ETH_00028615,1154.5967939355,25.4412219818,576.2060449362,45.382914184,5.504077347,5.44821114548537E-011,8.28491308190141E-010,2.0037915327,1.0027324235,0.1387767483,0.1950882466
ETH_00013810,471.5244241433,10.4006236434,2.4061148943,45.3361683213,5.5025905588,2.77458466578214E-009,3.35746823482709E-008,195.9692054818,7.6144831574,9.44E-19,2.38E-17
ETH_00008795,398.7649120023,8.9084092709,7.5174061368,44.7627516738,5.4842268199,7.13673090702804E-009,8.0588530687777E-008,53.0455458632,5.7291597107,2.55E-13,3.09E-12
ETH_00004175,2751.3255837755,61.4688376665,56.6793851752,44.759681299,5.4841278589,4.59833325282949E-013,9.71185013861489E-012,48.5419094662,5.601158955,8.86E-17,1.68E-15
ETH_00039120,109.7693220768,2.4592628153,7.3607011564,44.635051364,5.480105181,1.1000644805308E-005,6.81397713534486E-005,14.9128893762,3.8984879021,7.88E-05,0.0002601685
ETH_00000160,2723.4768468625,61.4815703815,75.7963744689,44.2974509266,5.4691517769,1.25532992735447E-012,2.46314629186713E-011,35.9314923167,5.1671769499,1.57E-15,2.59E-14
ETH_00032795,7400.2557686325,167.1819675257,752.6221562272,44.2646768557,5.4680839843,2.72049090095129E-009,3.30516098272697E-008,9.8326307662,3.297577468,1.37E-06,6.37E-06
ETH_00026610,981.2855835545,22.2550552066,7.4751636961,44.0927049807,5.4624680804,3.06154774818792E-011,4.82444933583187E-010,131.2727885904,7.0364240821,1.76E-19,4.79E-18
ETH_00013460,1342.083359136,30.5806888688,101.6323761682,43.8866293984,5.4557095668,1.1030930645229E-011,1.87772782102742E-010,13.2052738481,3.723042315,1.32E-08,8.64E-08
ETH_00025200,7212.6534028684,166.009945797,140.7864000422,43.4471161848,5.4411885158,2.40154581444692E-013,5.3054973392285E-012,51.2311800053,5.6789502166,5.75E-19,1.47E-17
ETH_00002345,666.0214885216,15.4408391432,8.8294945078,43.1337625077,5.4307456611,1.58683387318506E-010,2.25870082042753E-009,75.4314403766,6.2370940696,4.11E-17,8.14E-16
ETH_00037965,132.0901272265,3.0644769059,30.008844616,43.1036458365,5.4297379969,1.10125971714504E-006,8.51516411799269E-006,4.4017065274,2.1380629604,0.0169199878,0.0314002685
ETH_00000850,1208.2723654873,28.0797843453,14631.5664229146,43.0299731163,5.4272700338,1.57769490142092E-010,2.24920129383819E-009,0.0825798367,-3.5980666246,9.95E-08,5.63E-07
ETH_00000450,3975.6194731109,92.7283182756,6727.4048539269,42.8738442262,5.4220258752,2.66998732382033E-013,5.856001043879E-012,0.5909588555,-0.7588704061,0.169563003,0.2314060053
ETH_00015315,3029.1261299508,70.7582845159,1724.531160811,42.8094907992,5.4198587703,1.67401581103469E-012,3.23411162609291E-011,1.7564925464,0.8126974545,0.1676695599,0.2291634093
ETH_00042310,43.9623531661,1.0278933774,12.0239353028,42.7693709602,5.4185060835,0.0024429104,0.0074272291,3.6562366695,1.8703594596,0.1424784609,0.1994045381
ETH_00011490,206.8412702733,4.8576806959,4.5565511031,42.5802524337,5.4121125976,6.4301465322075E-005,0.0003253947,45.3942610521,5.5044380119,1.85E-06,8.43E-06
ETH_00012550,1832.6500935029,43.2196340709,46.195956545,42.403183944,5.4061006919,9.19985955889165E-006,5.86579445250367E-005,39.6712229937,5.3100209688,3.47E-07,1.81E-06
ETH_00040440,216.6752568757,5.1202636607,103.7293343782,42.3172069316,5.4031725031,1.75643833501473E-008,1.85268709464444E-007,2.0888522825,1.0627104728,0.0983268953,0.1444722696
ETH_00027480,2235.8475796562,53.7035411309,42.1270578628,41.6331499296,5.3796608106,1.69571606844226E-012,3.26407455874835E-011,53.0739076757,5.7299308689,6.99E-18,1.54E-16
ETH_00011285,641.1338873755,15.4408391432,401.2112661205,41.5219588412,5.3758026008,2.76638310921121E-011,4.39729607812597E-010,1.5979957232,0.6762635471,0.1043851527,0.1524530554
ETH_00030845,130.5086213951,3.1445250669,104.5671754383,41.5034444375,5.3751591679,8.22926388491385E-007,6.53470876292028E-006,1.2480840268,0.3197150664,0.8481043222,0.8898780746
ETH_00016555,678.6501212816,16.4303260679,276.8579455197,41.3047263016,5.3682349666,8.55574752525727E-009,9.53145792679454E-008,2.4512575213,1.2935220571,0.0430420968,0.07083464
ETH_00040285,582.4007645631,14.1119563483,1572.5608926916,41.270023106,5.367022341,1.59882752616287E-012,3.10985101222169E-011,0.3703518047,-1.4330317276,0.0303092316,0.0522258392
ETH_00004300,861.7270605677,20.945375638,70.3624435946,41.1416379186,5.362527326,0.0008015645,0.0029101449,12.2469746152,3.6143534974,0.0042365397,0.009344258
ETH_00033260,4205.4331853793,102.3444282801,2407.223531895,41.0909832225,5.3607499465,3.84804585904663E-013,8.22238183089963E-012,1.7470056809,0.8048842996,0.0709475403,0.1095918161
ETH_00042235,276.0459383169,6.7725743551,65.8422988435,40.7593809742,5.3490602359,1.56344887691505E-008,0.000000167,4.1925319007,2.0678217612,0.0011918311,0.0030266628
ETH_00021810,1330.7722903966,32.7165237846,6.2542695338,40.6758462225,5.346100455,2.74854205117974E-011,4.37656154885933E-010,212.7782122592,7.7332066213,6.89E-24,3.15E-22
ETH_00004855,2108.6982531055,52.0063534726,8256.4311414513,40.5469353704,5.3415209713,0.0003631175,0.0014718279,0.2554006952,-1.969165643,0.0943270699,0.1394731171
ETH_00043005,289.7448402186,7.1760504156,26.9442850367,40.3766450122,5.3354491337,0.0195117657,0.0421861019,10.7534803697,3.4267317593,0.039023842,0.0652177327
ETH_00036075,27.6546673609,0.6852622516,194.525454151,40.3563267873,5.3347229619,0.03106605,0.0622549176,0.1421647747,-2.8143640538,0.0937102875,0.1387402996
ETH_00035440,361.7209811972,8.9692542055,153.7065040266,40.3289920107,5.3337454421,9.52443308596039E-007,7.47420501648872E-006,2.3533225447,1.2346990689,0.2075085238,0.2748377788
ETH_00041195,394.5199891014,9.8178480347,167.9193812837,40.183957595,5.3285477526,1.77647292335825E-010,2.5129517756156E-009,2.349460712,1.232329643,0.0287267633,0.0497611861
ETH_00015330,106.0720876375,2.6610008455,237.2184953904,39.8617263943,5.3169322889,7.13626198376965E-008,6.7824223270744E-007,0.4471493147,-1.16117143,0.0744133492,0.1137180979
ETH_00042550,290.8738193184,7.2977402848,53.6880807848,39.8580667393,5.3167998308,7.21712715061533E-009,8.13956342672611E-008,5.4178472217,2.4377197114,0.0005512698,0.001518686
ETH_00036425,670.1082819295,16.894647063,1417.1110090493,39.6639408583,5.3097561203,1.22485050872607E-012,2.41894719515513E-011,0.4728692937,-1.0804866331,0.1041881244,0.1523325172
ETH_00025235,224.3472375162,5.6646328168,0.351096957,39.6049037552,5.3076071662,1.16877943703034E-007,1.07283134642503E-006,638.9894102872,9.3196482119,7.11E-16,1.24E-14
ETH_00039130,457.3261792004,11.5918485984,192.9330852468,39.4523940957,5.3020409451,1.87492136585866E-008,1.96403932745056E-007,2.370387529,1.2451229412,0.1545425529,0.2139029593
ETH_00013705,1832.098388086,46.690822293,411.4838274736,39.2389402909,5.2942141747,9.93961589961213E-013,1.99755628784276E-011,4.4524189428,2.154589347,3.31E-05,0.000118389
ETH_00036470,570.506124464,14.5954805697,20.2374029624,39.0878615981,5.2886487553,2.43459031983178E-010,3.39132856154887E-009,28.1906786916,4.8171463061,2.94E-11,2.78E-10
ETH_00024210,1185.0295476012,30.5806888688,880.1596004138,38.7509108341,5.276158316,6.45502549189524E-010,8.44987842009357E-009,1.3463803009,0.4290859736,0.5933431039,0.6696676727
ETH_00000745,132.0021045388,3.4071080317,31.3042336667,38.7431520545,5.275869428,1.97780961402168E-006,1.45294161983364E-005,4.2167492725,2.0761312416,0.0050752026,0.0109356476
ETH_00013830,1125.0554779052,29.0500680437,102.9476476465,38.7281529328,5.2753107912,5.4330092336978E-008,5.23450646760916E-007,10.9284233649,3.4500133744,3.14E-06,1.37E-05
ETH_00022455,4739.6466086254,122.5244935056,4341.4673901488,38.6832581227,5.2736374068,1.89098494153837E-012,3.60195127486348E-011,1.091715354,0.1265967473,0.9887009118,0.995985962
ETH_00022890,163.4064391589,4.2332633789,141.0465132656,38.6005841198,5.270550774,6.1291083041783E-007,4.97969582968147E-006,1.158528739,0.2122938329,0.8902957213,0.9226031599
ETH_00011255,1965.246132892,51.0841819938,13.2530105016,38.4707370499,5.265689565,5.45569683407235E-012,9.64685618489848E-011,148.2867709683,7.2122460869,1.74E-23,7.39E-22
ETH_00030455,605.1596804534,15.7642670426,230.3521597233,38.3880632583,5.2625858705,2.35630116216351E-008,2.42377585158735E-007,2.6271066057,1.393474745,0.0935481725,0.1385450704
ETH_00014510,210.3236686359,5.4820980129,60.2981079577,38.3655432906,5.2617392798,4.70583738110002E-007,3.90327820592333E-006,3.4880641493,1.8024265731,0.0268478548,0.0469325096
ETH_00030755,2575.4416976506,67.4279893894,39932.559377298,38.1954396234,5.2553284916,0.0009872843,0.0034686106,0.0644947816,-3.9546737548,0.0041565341,0.0091832736
ETH_00020520,743.3639372305,19.5940543611,21.8876764135,37.9382400156,5.2455808474,2.73338333620308E-010,3.77869538780559E-009,33.9626702802,5.0858779887,5.41E-13,6.32E-12
ETH_00010795,269.5977396116,7.1152054809,94.5796698341,37.8903659682,5.2437591692,1.26547984415057E-005,7.72840568810559E-005,2.8504829852,1.5112063899,0.1329974354,0.1880315648
ETH_00032370,38.8036258736,1.0278933774,2.8041500533,37.7506332138,5.2384289387,0.0305078768,0.0612709372,13.8379277629,3.7905560097,0.0358048472,0.0605003506
ETH_00034845,548.2050939602,14.534635635,31.2280916731,37.7171542326,5.2371489234,0.000000001,1.33752863798881E-008,17.5548701374,4.1337994188,2.93E-09,2.09E-08
ETH_00008800,407.9292526749,10.8233029301,5.1396568747,37.689904395,5.2361062303,1.76795606082584E-008,1.86268257493938E-007,79.3689661822,6.3105031087,3.82E-14,5.11E-13
ETH_00030985,633.7055428764,16.9138502893,84.4460575167,37.4666638309,5.2275356154,6.76328503329479E-005,0.0003394291,7.5042643968,2.907710659,0.0045723056,0.0099767317
ETH_00009850,700.5117264932,18.7678990139,41.5733177342,37.3249944479,5.2220701406,0.0006606863,0.0024564392,16.8500318154,4.0746794103,0.0007159677,0.0019187432
ETH_00003385,260.1490082956,6.9743123853,490.0926462597,37.3010260972,5.2211434124,1.4715490061016E-009,1.82672287505728E-008,0.53081598,-0.9137162919,0.1610126512,0.2214195895
ETH_00002805,10304.8131335986,276.3181733873,6805.6200849349,37.2932876882,5.2208440822,4.16693709770776E-013,8.86226901619711E-012,1.5141622666,0.5985198214,0.1416736294,0.1985337523
ETH_00043165,114.5159146174,3.0836801322,51.2803538645,37.1361197357,5.2147511743,1.05227520505408E-005,6.54908524618923E-005,2.233134251,1.1590699853,0.1926408071,0.2576795843
ETH_00013105,24991.7259183182,673.4032243024,523.3017718112,37.112572403,5.2138360977,5.67984409124377E-009,6.51041425735027E-008,47.757770496,5.5776635829,2.10E-12,2.30E-11
ETH_00024460,1212.6889110847,32.700555814,157.1363687531,37.0846574592,5.2127505382,9.531735137226E-012,1.64089719607642E-010,7.7174299031,2.948120474,4.60E-06,1.95E-05
ETH_00012555,3955.6076283833,106.9170875292,707.4021636601,36.9969639072,5.2093349782,1.15610450710168E-006,8.90151689687402E-006,5.5917380969,2.4832967901,0.0012323814,0.0031218511
ETH_00028850,1331.9335236702,36.0435836554,637.5605001002,36.9534155206,5.2076358105,8.30158747682946E-012,1.43182767747811E-010,2.0891092272,1.0628879244,0.0766704386,0.1167388992
ETH_00043870,75.8328672439,2.0557867548,19.6651253433,36.8875162105,5.2050607445,0.0002423153,0.0010268854,3.8562107243,1.9471838904,0.0853366858,0.1281449249
ETH_00027860,633.0482624587,17.1956364805,201.7330036365,36.8144711117,5.2022010703,6.08817643706969E-006,4.06650964947466E-005,3.1380500515,1.6498683633,0.0632652023,0.0991631165
ETH_00018765,1496.8606377794,40.6803230947,1392.3605439851,36.7956919687,5.2014649606,2.97423241822484E-012,5.48220133007747E-011,1.075052467,0.104407071,0.7179999833,0.7799904942
ETH_00029860,618.8334470554,16.9330535156,28.3837127452,36.545886215,5.1916371133,5.36335085526907E-010,7.13341300342201E-009,21.8024136804,4.4464159552,8.07E-11,7.24E-10
ETH_00042935,507.7714404013,13.910218318,5861.8828722703,36.5034846177,5.1899622849,1.50766074116233E-005,8.94983513491551E-005,0.0866225838,-3.5291129835,0.0001539728,0.0004787476
ETH_00015660,4406.9644491834,120.7569634533,27.403677063,36.4944954159,5.1896069689,1.22234717313517E-012,2.41894719515513E-011,160.816537104,7.3292719593,2.08E-25,1.15E-23
ETH_00023350,2189.8919882782,60.011794491,4535.6804581029,36.4910265866,5.1894698331,8.29388687434178E-006,5.35551478000668E-005,0.4828144329,-1.0504592912,0.1706256247,0.2326413535
ETH_00036830,449.8416002568,12.4180039456,259.3547396219,36.2249522732,5.1789118839,3.30517968769756E-010,4.48756837359413E-009,1.7344645442,0.7944903495,0.1701730704,0.2321002569
ETH_00012410,2043.4422545414,56.6463281676,136.1831719605,36.0736930467,5.1728752216,0.000030471,0.0001661788,15.005101035,3.9073811281,5.10E-05,0.000175325
ETH_00017120,5242.3340470577,145.4007307735,62.6561443226,36.0543858285,5.1721028614,7.45951408846486E-012,1.29147260992701E-010,83.6683154339,6.3866094832,1.75E-21,5.73E-20
ETH_00030185,5984.1701247891,166.2468550242,1804.3299525072,35.9956892052,5.1697522366,1.92349262835599E-012,3.65623890440001E-011,3.3165608743,1.7296880063,0.0012468044,0.0031531552
ETH_00006315,604.0870115935,16.7921604201,96.9018924522,35.9743473432,5.1688966083,2.79181849957348E-010,3.84781752116442E-009,6.2340063368,2.6401596214,2.48E-05,9.14E-05
ETH_00041455,195.9180117567,5.4628947865,136.3027512117,35.8634056507,5.1644405904,4.91408478053643E-008,4.76473002525127E-007,1.4373738609,0.5234353555,0.5573982786,0.6356783158
ETH_00003160,129.062472577,3.6088460619,371.2572853851,35.7628090426,5.1603881545,1.60999272419776E-008,1.71535723753358E-007,0.3476362018,-1.524349767,0.0099182195,0.0197544881
ETH_00015160,451.2593504295,12.6389452021,111.1853621132,35.7038774371,5.1580088542,1.0962746476612E-009,1.39115575594726E-008,4.0586219431,2.0209899606,0.0007280847,0.001948935
ETH_00008345,1104.3315471891,31.1859029595,156.8501139387,35.4112416954,5.1461355276,7.99835935158361E-011,1.18855098898777E-009,7.0406805546,2.815714887,1.59E-05,6.03E-05
ETH_00020285,391.1841874768,11.0474794423,74.6576202402,35.4093609785,5.146058903,0.000000003,3.62424478531794E-008,5.2397087694,2.3894866269,0.000792088,0.002093947
ETH_00038380,31.3594458896,0.8870002818,14.3140457899,35.3544937156,5.1438216946,0.0056984779,0.0150138355,2.1908163736,1.1314685679,0.409118967,0.4918018029
ETH_00025690,231.3732375759,6.5516330986,148.2540999546,35.3153533011,5.1422236244,1.84391174666622E-008,1.93600124011307E-007,1.560653214,0.6421499979,0.4699603605,0.5516899785
ETH_00013210,1791.0387518548,50.76398935,566.0472990284,35.2816785046,5.1408472928,2.78519296914973E-012,5.15458431045073E-011,3.164115004,1.6618020375,0.0050715461,0.0109306736
ETH_00025555,7639.9133356103,216.7996088846,228.7282755419,35.2395162284,5.1391222138,6.52891510247236E-005,0.0003289489,33.4017004129,5.0618496441,5.84E-06,2.42E-05
ETH_00028900,414.8239857964,11.7743834023,9.3826927795,35.2310581051,5.1387758993,0.000000002,2.44786450020311E-008,44.2116133976,5.4663534779,6.85E-13,7.85E-12
ETH_00007730,4103.5680715826,116.9015023971,2869.1784300626,35.1027830048,5.1335135091,1.8636129857003E-012,3.56469704015294E-011,1.4302240769,0.5162411955,0.2044022356,0.2714412389
ETH_00003375,283.6255291232,8.0822539237,39.5199118228,35.0923803929,5.1330859071,8.79433859253392E-008,8.22126488916798E-007,7.176775353,2.8433357623,6.82E-05,0.0002281275
ETH_00007650,47.655254005,1.3705245032,0.2335506821,34.7715446846,5.1198352534,0.0052739791,0.0140989702,204.046734389,7.6727558113,3.38E-05,0.0001205257
ETH_00032560,182.4404665953,5.2611567563,142.4335039307,34.6768733655,5.115901919,0.0013137115,0.0044443099,1.2808816856,0.3571372208,0.929911994,0.9526817251
ETH_00029565,2584.4034062369,74.61677252,436.4296996866,34.6356900594,5.1141875123,4.2654471475579E-011,6.58509979260884E-010,5.9216946237,2.566010094,3.73E-06,1.61E-05
ETH_00008855,382.7106596309,11.085885895,4.8638286726,34.5223343679,5.1094581164,4.04111361207085E-008,3.96890426227497E-007,78.6850617876,6.2980178636,1.21E-13,1.54E-12
ETH_00039200,515.4905154698,14.9573149218,22.5383766811,34.4641079074,5.107022767,0.001114619,0.0038565731,22.8716789485,4.5154903689,0.0006449207,0.0017462233
ETH_00034445,1816.3909222012,52.7140542062,2341.071474613,34.4574316955,5.1067432684,0.0016065021,0.0052499016,0.7758801651,-0.3660942499,0.8119961291,0.8609659153
ETH_00043050,1750.6377229239,50.8215990289,855.4466105646,34.4467265174,5.1062949846,5.67218903594168E-012,9.9716864670389E-011,2.0464605287,1.0331308409,0.082887566,0.1249794411
ETH_00038505,188.6702764758,5.5429429475,110.0160727004,34.037925027,5.089071187,0.0003423163,0.0013986987,1.7149337533,0.7781528471,0.6799535152,0.7459130777
ETH_00020515,310.8368716048,9.2126339441,8.2572519679,33.7402824743,5.0764001468,6.34396161446114E-008,6.07483299156803E-007,37.6441063943,5.2343521074,1.86E-10,1.57E-09
ETH_00035360,1070.9520551133,31.7911170501,702.7348947023,33.6871476842,5.0741263745,2.18534885401388E-011,3.53436356892199E-010,1.5239773394,0.607841451,0.284247007,0.3606131182
