,DESeq normalised counts,,,DE of gametocytes over merozoites,,,,DE of gametocytes over sporozoites,,,
gene ID,gametocyte,merozoite,sporozoite,fold change,log2 fold change,p-value,adjusted p-value,fold change,log2 fold change,p-value,adjusted p-value
ETH_00031845,1262.8162845029,0,8.3922655642,Max,Max,2.33044820706785E-023,3.03757277732673E-021,150.4738231703,7.2333687235,2.37E-23,9.93E-22
ETH_00023525,444.0612026774,0,3.0252956362,Max,Max,2.30825820000441E-016,8.29155425859852E-015,146.7827465745,7.1975385878,6.78E-18,1.50E-16
ETH_00025265,205.4045967512,0,1.4373790631,Max,Max,1.03504840187979E-008,1.13780501430737E-007,142.9021766225,7.1588840809,1.02E-09,7.70E-09
ETH_00011780,117.06408995,0,0.852731424,Max,Max,3.48906350693364E-008,3.47914922811613E-007,137.2813135063,7.1009914515,9.32E-10,7.10E-09
ETH_00023570,431.498684705,0,3.2712514176,Max,Max,2.7441673978404E-016,9.70456718523095E-015,131.906304232,7.0433697071,3.07E-16,5.56E-15
ETH_00035875,329.6557436437,0,2.5314055865,Max,Max,2.67098486968463E-014,6.76946276416739E-013,130.2263633323,7.0248777304,3.46E-15,5.42E-14
ETH_00005440,133.4402204933,0,1.1677534107,Max,Max,8.31216954216582E-009,9.29414643415698E-008,114.2708891027,6.8363141087,2.97E-09,2.12E-08
ETH_00011425,363.3537967369,0,3.2305157653,Max,Max,6.25573890209235E-015,1.7725888739966E-013,112.4754754777,6.8134666555,8.95E-15,1.32E-13
ETH_00042675,470.5283026528,0,4.2007934641,Max,Max,1.27480364585298E-007,1.16663073869234E-006,112.0093874343,6.8074758385,4.36E-07,2.23E-06
ETH_00031840,172.2755349241,0,1.7054628479,Max,Max,2.78532337427852E-010,3.84467329302832E-009,101.0139476995,6.6584106995,1.56E-11,1.54E-10
ETH_00023620,419.5581457329,0,4.238410302,Max,Max,4.51721125784081E-016,1.52648279690887E-014,98.989506876,6.6292036991,1.61E-16,2.97E-15
ETH_00028755,78.7711767222,0,0.9357445962,Max,Max,3.61151895495372E-006,2.52308567725863E-005,84.1802101179,6.3954092056,1.10E-06,5.19E-06
ETH_00027220,431.1757495614,0,5.6835688615,Max,Max,3.49401878116332E-016,1.21214552697088E-014,75.8635568716,6.245335109,3.58E-14,4.81E-13
ETH_00001035,1147.3695832823,0,15.9236888262,Max,Max,4.51858115404775E-015,1.3005531372092E-013,72.0542580179,6.1710117833,3.79E-11,3.52E-10
ETH_00027235,453.367488119,0,7.4483048523,Max,Max,1.56028706611965E-016,5.78701593141286E-015,60.8685462144,5.9276250038,8.93E-15,1.32E-13
ETH_00031860,390.7834751864,0,6.4264984279,Max,Max,1.23763013961768E-015,3.8938404806454E-014,60.8081491924,5.926192774,4.89E-13,5.75E-12
ETH_00006970,40.3229085727,0,0.702193914,Max,Max,0.0130107975,0.0299169647,57.4241783745,5.8435864045,0.0081371724,0.0166935049
ETH_00017815,134.3900902439,0,2.4061148943,Max,Max,0.000000006,6.87285340478234E-008,55.8535631692,5.803577415,8.49E-09,5.68E-08
ETH_00031195,69.6289363417,0,1.4013040928,Max,Max,9.21894861562593E-006,5.873860835822E-005,49.688669788,5.634845015,2.50E-05,9.19E-05
ETH_00004820,629.5408460696,0,13.1998346709,Max,Max,1.17228066781337E-018,5.90933083598298E-017,47.6930856914,5.5757082215,1.88E-15,3.06E-14
ETH_00027230,1146.7935533365,0,24.7433201131,Max,Max,9.29510422204364E-023,1.00962536811817E-020,46.3476020233,5.5344227921,2.44E-16,4.44E-15
ETH_00038950,189.9387142236,0,4.2069960137,Max,Max,7.10095996197602E-011,1.06561116271495E-009,45.1482990722,5.4965997312,4.68E-09,3.25E-08
ETH_00003895,86.0457781855,0,1.9452160797,Max,Max,1.32438252196049E-006,1.01033997745548E-005,44.2345604088,5.467102081,4.85E-06,2.04E-05
ETH_00031540,72.0394775672,0,1.8276698048,Max,Max,6.03528190587762E-006,4.03413275525476E-005,39.41602437,5.3007103636,2.55E-05,9.34E-05
ETH_00022700,902.8055414018,0,23.1970825894,Max,Max,3.34739195543251E-021,2.50341018043985E-019,38.9189260298,5.2823999943,3.74E-15,5.84E-14
ETH_00019340,552.5617746654,0,17.1918876513,Max,Max,9.0974137968651E-018,4.12959221306454E-016,32.140843744,5.0063358972,3.53E-12,3.77E-11
ETH_00019335,250.953255185,0,7.8685030938,Max,Max,1.1273284646966E-011,1.91540873592026E-010,31.8933921984,4.9951856465,1.18E-08,7.76E-08
ETH_00006830,361.4466799243,0,12.0255122496,Max,Max,4.2546876127938E-015,1.22859356881936E-013,30.0566555854,4.9096125839,6.10E-10,4.78E-09
ETH_00010035,277.6207646386,0,13.1431735648,Max,Max,1.81995072345504E-013,4.13065432855815E-012,21.1228105047,4.4007299008,5.65E-09,3.87E-08
ETH_00033495,135.032215391,0,6.8920228453,Max,Max,5.48560943513947E-007,4.47680684134281E-006,19.5925374046,4.2922323462,6.74E-05,0.0002258572
ETH_00023550,314.9707743523,0,16.9288660887,Max,Max,2.54146848572292E-014,6.4591527754139E-013,18.6055446775,4.2176607209,1.43E-09,1.06E-08
ETH_00002900,251.0325904089,0,13.8186489518,Max,Max,5.38725934972926E-013,1.12479071640572E-011,18.1662180786,4.1831861993,2.46E-07,1.31E-06
ETH_00014450,243.5864429965,0,13.9032039916,Max,Max,1.66037102126356E-012,3.21639600806978E-011,17.5201660815,4.1309445458,8.24E-07,3.98E-06
ETH_00023515,337.7984702602,0,19.8649810822,Max,Max,8.86099524285878E-015,2.47999142932035E-013,17.0047214675,4.0878634702,3.93E-09,2.76E-08
ETH_00009790,355.2577507979,0,27.0163648189,Max,Max,7.3526778913761E-013,1.51777902897999E-011,13.1497243681,3.7169606543,4.90E-07,2.47E-06
ETH_00025350,498.3724590879,0,42.9433478555,Max,Max,2.3788041077661E-011,3.81444792254092E-010,11.605347137,3.5367177718,0.0001416262,0.0004441407
ETH_00031545,56.2833153944,0,4.9091899278,Max,Max,4.25956455319794E-005,0.0002245192,11.4648885504,3.5191504255,0.0042673942,0.0093964738
ETH_00007015,58.7029561107,0,6.2728421035,Max,Max,0.0003762319,0.001516228,9.3582709626,3.2262420016,0.0252958941,0.0446369467
ETH_00033855,158.2314573748,0,18.1590465358,Max,Max,2.20826165488502E-006,1.60415440598494E-005,8.7136434759,3.1232760857,0.0027469408,0.0063604595
ETH_00040795,18.0479361561,0,2.1050398745,Max,Max,0.0280887584,0.0572313156,8.5736789953,3.0999144026,0.1107089308,0.1605849258
ETH_00030570,78.5977763139,0,9.3451110208,Max,Max,1.85791908428263E-006,0.000013726,8.4105770535,3.0722047878,0.0066128499,0.0138771375
ETH_00040230,68.7078772633,0,8.7934546167,Max,Max,0.0008981014,0.0031996397,7.8135249749,2.9659735492,0.0909307466,0.1351713144
ETH_00025130,179.9733380585,0,24.3438483241,Max,Max,4.06945946957892E-011,6.31405305200038E-010,7.3929699061,2.8861540407,0.0003450008,0.0009906607
ETH_00042990,43.6058185214,0,5.9954720339,Max,Max,0.0003749311,0.0015116534,7.2731251643,2.8625754041,0.0407235683,0.0675897601
ETH_00040895,160.2927857346,0,22.8172886184,Max,Max,1.43180817582241E-010,2.06705977788032E-009,7.025058429,2.8125102246,0.0006853567,0.001843179
ETH_00027130,133.7309094899,0,21.3690814028,Max,Max,1.37074691269557E-005,8.28257935856582E-005,6.2581496588,2.6457361599,0.0611370028,0.096155114
ETH_00024995,156.4804727086,0,26.6498491858,Max,Max,3.11180353910431E-010,4.23762619265489E-009,5.8717207598,2.5537833599,0.0009860132,0.0025520998
ETH_00000750,95.4777864985,0,17.3594558634,Max,Max,1.54082129357608E-007,1.38506930862937E-006,5.5000448891,2.4594433934,0.0066734129,0.0139786101
ETH_00016795,133.3541087494,0,24.2624120987,Max,Max,3.13784197694872E-009,3.7670618681158E-008,5.4963252708,2.4584673849,0.0088276874,0.0178936969
ETH_00033665,9.1917185679,0,1.7524010499,Max,Max,0.1879764561,0.2748993726,5.2452140272,2.3910016421,0.4850673196,0.5662312536
ETH_00038005,223.7370232367,0,43.4826693187,Max,Max,2.34440411669057E-012,4.40130517709563E-011,5.145429817,2.3632915959,0.0064790676,0.0136307439
ETH_00037110,500.5694179047,0,100.6766574515,Max,Max,1.19469834851235E-017,5.31728182040325E-016,4.9720504293,2.3138409291,0.001541903,0.0038110717
ETH_00036785,2.2843295799,0,0.4671013643,Max,Max,0.8473689924,0.899417716,4.8904365404,2.2899632518,0.8625526373,0.9009396999
ETH_00041610,45.5817691605,0,9.6585560607,Max,Max,0.0136243261,0.0311004132,4.7193150688,2.2385774913,0.3441825833,0.4242078126
ETH_00037105,114.1101576417,0,26.4319276549,Max,Max,1.57173896054706E-008,1.67725687438964E-007,4.3171333976,2.1100736722,0.0401531534,0.0668125132
ETH_00034130,37.9658006541,0,9.4956485307,Max,Max,0.0003801672,0.0015307352,3.9982314564,1.9993619917,0.1498855505,0.208433527
ETH_00038010,353.3233424929,0,90.1375812707,Max,Max,1.30295146724911E-015,4.08526776191783E-014,3.9198227589,1.970788422,0.0122533469,0.0238708332
ETH_00003455,36.2298839036,0,10.8793800646,Max,Max,0.000462166,0.0018035941,3.330142314,1.7355838324,0.1374982828,0.1935583634
ETH_00041605,30.8725221693,0,9.3450759416,Max,Max,0.001178544,0.0040409754,3.3036138349,1.7240450575,0.1859831779,0.2501256657
ETH_00030200,13.8254893526,0,4.2039122785,Max,Max,0.205807325,0.2958541096,3.2887197536,1.717526075,0.5698657749,0.647799764
ETH_00041080,38.8703925859,0,13.3216400876,Max,Max,0.0001871392,0.0008212881,2.917838369,1.5448999687,0.2062168166,0.2734036821
