inf,dpi,rep1_ct,rep2_ct,rep3_ct,gene,calc
1,0,14.7933511685,14.1341928226,15.45395536,Ef18S,Ref-Ef
1,3,-1.1535093402,1.0462621774,-1.7142881335,Ef18S,Ref-Ef
1,5,-7.6456355228,-5.7916670528,-7.811949055,Ef18S,Ref-Ef
1,7,-11.3648557783,-11.4474418278,-12.1519999034,Ef18S,Ref-Ef
2,0,13.6541512491,13.2572478897,13.3109486093,Ef18S,Ref-Ef
2,3,5.7245114401,7.1259132797,5.8853287375,Ef18S,Ref-Ef
2,5,-3.4058038506,-3.6227593093,-3.9929467109,Ef18S,Ref-Ef
2,7,-6.79213438,-7.4634613269,-7.8950202191,Ef18S,Ref-Ef
